time,Tf_1,Tf_2,Ts,v_1,v_2
0,0,0,0,0,0
1,297.40000011135,297.40000010747,297.40000000001,-0.00028602593669411,-0.00029717356216703
2,297.40000020455,297.40000020651,297.40000000006,-0.00028602888258341,-0.00029717515583518
3,297.40000029334,297.40000030094,297.40000000021,-0.00028602888306302,-0.00029717515627201
4,297.40000029334,297.40000030094,297.40000000021,-0.00028602888306302,-0.00029717515627201
5,297.40000037803,297.40000039014,297.4000000006,-0.00028602888306748,-0.00029717515627318
6,297.40000037803,297.40000039014,297.4000000006,-0.00028602888306748,-0.00029717515627318
7,297.40000045797,297.40000047422,297.40000000136,-0.00028602888308309,-0.00029717515629192
8,297.40000053387,297.40000055422,297.40000000264,-0.00028602888308309,-0.00029717515629192
9,297.40000060637,297.40000063022,297.40000000459,-0.00028602888308421,-0.00029717515629192
10,297.40000067566,297.40000070259,297.40000000736,-0.00028602888308421,-0.00029717515629192
11,297.40000074195,297.40000077161,297.40000001103,-0.00028602888308421,-0.00029717515629192
12,297.40000080542,297.40000083755,297.4000000157,-0.00028602888308421,-0.00029717515629192
13,297.40000086629,297.40000090067,297.40000002143,-0.00028602888308421,-0.00029717515629192
14,297.40000092472,297.40000096115,297.40000002823,-0.00028602888308421,-0.00029717515629192
15,297.40000098088,297.40000101921,297.40000003613,-0.00028602888308421,-0.00029717515629192
16,297.40000103494,297.40000107503,297.40000004513,-0.00028602888308421,-0.00029717515629426
17,297.40000108705,297.40000112877,297.4000000552,-0.00028602888308532,-0.00029717515629309
18,297.40000113734,297.40000118059,297.40000006632,-0.00028602888308421,-0.00029717515629309
19,297.40000118594,297.40000123062,297.40000007845,-0.00028602888308532,-0.00029717515629309
20,297.40000123298,297.40000127901,297.40000009157,-0.00028602888308421,-0.00029717515629426
21,297.40000127857,297.40000132588,297.40000010563,-0.00028602888308421,-0.00029717515629309
22,297.4000013228,297.40000137133,297.40000012059,-0.00028602888308532,-0.00029717515629426
23,297.40000136579,297.40000141547,297.40000013641,-0.00028602888308532,-0.00029717515629426
24,297.40000140761,297.40000145842,297.40000015305,-0.00028602888308421,-0.00029717515629426
25,297.40000144836,297.40000150024,297.40000017045,-0.00028602888308532,-0.00029717515629426
26,297.40000148811,297.40000154105,297.40000018859,-0.00028602888308421,-0.00029717515629426
27,297.40000152695,297.4000015809,297.40000020742,-0.00028602888308421,-0.00029717515629426
28,297.40000156493,297.40000161988,297.4000002269,-0.00028602888308532,-0.00029717515629309
29,297.40000160213,297.40000165805,297.400000247,-0.00028602888308421,-0.00029717515629426
30,297.4000016386,297.40000169549,297.40000026768,-0.00028602888308421,-0.00029717515629543
31,297.40000167441,297.40000173225,297.40000028891,-0.00028602888308532,-0.00029717515629426
