time,Tf_1,Tf_2,Ts,v_1,v_2
0,0,0,0,0,0
1,299.74000015701,299.74000016311,299.74000000041,-0.00037175881009943,-0.00037919595326598
2,299.74000030174,299.74000031333,299.74000000214,-0.00037176146148903,-0.00037919848600124
3,299.74000043774,299.74000045387,299.7400000063,-0.00037176146138045,-0.00037919848589935
4,299.74000056462,299.74000058461,299.74000001381,-0.00037176146138035,-0.00037919848589818
5,299.7400006828,299.74000070614,299.74000002523,-0.00037176146138024,-0.00037919848589935
6,299.74000079302,299.74000081933,299.74000004079,-0.00037176146137909,-0.00037919848589818
7,299.74000089611,299.7400009251,299.74000006047,-0.00037176146137854,-0.00037919848589584
8,299.74000099286,299.74000102432,299.74000008407,-0.00037176146137944,-0.00037919848589701
9,299.74000108404,299.74000111778,299.7400001113,-0.00037176146137815,-0.00037919848589701
10,299.74000117033,299.74000120621,299.74000014183,-0.00037176146137794,-0.00037919848589466
11,299.74000125234,299.74000129026,299.74000017534,-0.00037176146137889,-0.00037919848589701
12,299.74000133061,299.74000137049,299.74000021148,-0.00037176146137868,-0.00037919848589466
13,299.74000140563,299.74000144742,299.74000024998,-0.0003717614613785,-0.00037919848589584
14,299.74000147784,299.74000152149,299.74000029056,-0.00037176146137941,-0.00037919848589701
15,299.74000154761,299.7400015931,299.74000033297,-0.00037176146137808,-0.00037919848589584
16,299.74000161529,299.74000166259,299.740000377,-0.00037176146137899,-0.00037919848589584
17,299.74000168116,299.74000173027,299.74000042245,-0.00037176146137774,-0.00037919848589701
18,299.74000174548,299.7400017964,299.74000046915,-0.00037176146137753,-0.00037919848589584
19,299.74000180849,299.74000186122,299.74000051696,-0.00037176146137847,-0.00037919848589466
20,299.74000187039,299.74000192494,299.74000056575,-0.00037176146137718,-0.00037919848589584
21,299.74000193135,299.74000198774,299.7400006154,-0.000371761461377,-0.00037919848589466
22,299.74000199152,299.74000204976,299.74000066581,-0.00037176146137906,-0.00037919848589584
23,299.74000205105,299.74000211116,299.7400007169,-0.0003717614613778,-0.00037919848589701
24,299.74000211005,299.74000217205,299.74000076859,-0.00037176146137763,-0.00037919848589584
25,299.74000216862,299.74000223253,299.74000082082,-0.00037176146137749,-0.00037919848589584
26,299.74000222685,299.74000229269,299.74000087352,-0.00037176146137732,-0.00037919848589466
27,299.74000228483,299.74000235262,299.74000092666,-0.00037176146137941,-0.00037919848589466
28,299.74000234262,299.74000241238,299.74000098018,-0.00037176146137707,-0.00037919848589584
29,299.74000240028,299.74000247203,299.74000103405,-0.00037176146137686,-0.00037919848589701
30,299.74000245785,299.74000253162,299.74000108824,-0.00037176146137899,-0.00037919848589584
31,299.7400025154,299.7400025912,299.74000114272,-0.00037176146137658,-0.00037919848589466
32,299.74000257295,299.74000265079,299.74000119747,-0.00037176146137871,-0.00037919848589466
33,299.74000263054,299.74000271045,299.74000125247,-0.00037176146137861,-0.00037919848589701
34,299.74000268819,299.74000277018,299.7400013077,-0.00037176146137735,-0.00037919848589584
35,299.74000274593,299.74000283002,299.74000136315,-0.00037176146137833,-0.00037919848589584
36,299.74000280378,299.74000288998,299.7400014188,-0.00037176146137714,-0.00037919848589584
37,299.74000286176,299.74000295008,299.74000147464,-0.00037176146137812,-0.00037919848589584
38,299.74000291988,299.74000301034,299.74000153067,-0.00037176146137805,-0.00037919848589584
39,299.74000297815,299.74000307076,299.74000158688,-0.00037176146137794,-0.00037919848589701
40,299.74000303659,299.74000313136,299.74000164326,-0.0003717614613778,-0.00037919848589584
41,299.74000309519,299.74000319214,299.74000169981,-0.0003717614613777,-0.00037919848589584
42,299.74000315398,299.74000325311,299.74000175653,-0.0003717614613776,-0.00037919848589584
43,299.74000321294,299.74000331426,299.7400018134,-0.00037176146137749,-0.00037919848589466
44,299.7400032721,299.74000337561,299.74000187043,-0.00037176146137854,-0.00037919848589584
45,299.74000333144,299.74000343716,299.74000192762,-0.00037176146137843,-0.00037919848589466
46,299.74000339097,299.74000349891,299.74000198496,-0.00037176146137948,-0.00037919848589466
47,299.74000345069,299.74000356085,299.74000204246,-0.00037176146137829,-0.00037919848589584
48,299.74000351061,299.74000362298,299.74000210011,-0.00037176146137822,-0.00037919848589584
49,299.74000357071,299.74000368532,299.74000215791,-0.00037176146137812,-0.00037919848589466
50,299.740003631,299.74000374784,299.74000221586,-0.00037176146137913,-0.00037919848589466
51,299.74000369149,299.74000381056,299.74000227397,-0.00037176146137794,-0.00037919848589584
52,299.74000375216,299.74000387348,299.74000233223,-0.00037176146137787,-0.00037919848589584
53,299.74000381301,299.74000393657,299.74000239064,-0.00037176146137672,-0.00037919848589584
54,299.74000387405,299.74000399986,299.7400024492,-0.00037176146137658,-0.00037919848589584
55,299.74000393527,299.74000406332,299.74000250792,-0.00037176146137767,-0.00037919848589584
56,299.74000399667,299.74000412696,299.74000256678,-0.0003717614613776,-0.00037919848589701
57,299.74000405824,299.74000419078,299.7400026258,-0.00037176146137753,-0.00037919848589584
58,299.74000411998,299.74000425478,299.74000268497,-0.00037176146137742,-0.00037919848589584
59,299.74000418189,299.74000431894,299.7400027443,-0.00037176146137742,-0.00037919848589584
60,299.74000424397,299.74000438327,299.74000280377,-0.00037176146137732,-0.00037919848589584
61,299.74000430621,299.74000444776,299.7400028634,-0.00037176146137728,-0.00037919848589584
62,299.74000436861,299.74000451241,299.74000292319,-0.00037176146137833,-0.00037919848589584
63,299.74000443116,299.74000457721,299.74000298312,-0.00037176146137829,-0.00037919848589584
64,299.74000449387,299.74000464217,299.74000304321,-0.00037176146137822,-0.00037919848589584
65,299.74000455673,299.74000470727,299.74000310344,-0.00037176146137707,-0.00037919848589466
66,299.74000461973,299.74000477252,299.74000316383,-0.000371761461377,-0.00037919848589466
67,299.74000468288,299.74000483792,299.74000322437,-0.00037176146137916,-0.00037919848589466
68,299.74000474617,299.74000490345,299.74000328507,-0.00037176146137798,-0.00037919848589701
69,299.7400048096,299.74000496912,299.74000334591,-0.00037176146137906,-0.00037919848589584
70,299.74000487316,299.74000503492,299.74000340689,-0.00037176146137791,-0.00037919848589584
71,299.74000493685,299.74000510085,299.74000346803,-0.00037176146137784,-0.00037919848589584
72,299.74000500067,299.74000516691,299.74000352932,-0.00037176146137777,-0.00037919848589584
73,299.74000506462,299.74000523309,299.74000359075,-0.00037176146137774,-0.00037919848589466
74,299.74000512869,299.74000529939,299.74000365233,-0.00037176146137774,-0.00037919848589466
75,299.74000519289,299.74000536581,299.74000371405,-0.00037176146137767,-0.00037919848589466
76,299.7400052572,299.74000543234,299.74000377591,-0.00037176146137875,-0.00037919848589466
77,299.74000532162,299.74000549899,299.74000383792,-0.00037176146137753,-0.00037919848589466
78,299.74000538616,299.74000556575,299.74000390007,-0.00037176146137749,-0.00037919848589466
79,299.7400054508,299.74000563261,299.74000396236,-0.00037176146137857,-0.00037919848589584
80,299.74000551556,299.74000569958,299.74000402479,-0.00037176146137854,-0.00037919848589466
81,299.74000558042,299.74000576665,299.74000408735,-0.00037176146137735,-0.00037919848589584
82,299.74000564538,299.74000583381,299.74000415005,-0.00037176146137843,-0.00037919848589701
83,299.74000571045,299.74000590108,299.74000421289,-0.0003717614613784,-0.00037919848589584
84,299.74000577561,299.74000596844,299.74000427586,-0.00037176146137836,-0.00037919848589584
85,299.74000584086,299.74000603589,299.74000433896,-0.00037176146137833,-0.00037919848589584
86,299.74000590621,299.74000610344,299.74000440219,-0.00037176146137829,-0.00037919848589584
87,299.74000597166,299.74000617107,299.74000446555,-0.00037176146137826,-0.00037919848589584
88,299.74000603719,299.74000623878,299.74000452904,-0.00037176146137826,-0.00037919848589584
89,299.74000610281,299.74000630658,299.74000459266,-0.00037176146137819,-0.00037919848589584
90,299.74000616851,299.74000637447,299.74000465639,-0.00037176146137819,-0.00037919848589584
91,299.7400062343,299.74000644243,299.74000472025,-0.00037176146137812,-0.00037919848589584
92,299.74000630017,299.74000651047,299.74000478424,-0.00037176146137812,-0.00037919848589701
93,299.74000636612,299.74000657859,299.74000484834,-0.00037176146137805,-0.00037919848589584
94,299.74000643215,299.74000664678,299.74000491256,-0.00037176146137801,-0.00037919848589466
95,299.74000649826,299.74000671505,299.74000497689,-0.00037176146137801,-0.00037919848589466
96,299.74000656444,299.74000678338,299.74000504134,-0.00037176146137794,-0.00037919848589466
97,299.74000663069,299.74000685179,299.7400051059,-0.00037176146137683,-0.00037919848589584
98,299.74000669701,299.74000692026,299.74000517058,-0.00037176146137791,-0.00037919848589584
99,299.7400067634,299.7400069888,299.74000523536,-0.00037176146137787,-0.00037919848589584
100,299.74000682986,299.7400070574,299.74000530025,-0.00037176146137787,-0.00037919848589584
101,299.74000689639,299.74000712607,299.74000536525,-0.00037176146137784,-0.00037919848589584
102,299.74000696298,299.7400071948,299.74000543035,-0.00037176146137669,-0.00037919848589584
103,299.74000702964,299.74000726359,299.74000549556,-0.00037176146137777,-0.00037919848589584
104,299.74000709635,299.74000733244,299.74000556086,-0.00037176146137662,-0.00037919848589701
105,299.74000716313,299.74000740134,299.74000562627,-0.0003717614613777,-0.00037919848589584
106,299.74000722997,299.7400074703,299.74000569177,-0.0003717614613777,-0.00037919848589466
107,299.74000729686,299.74000753932,299.74000575737,-0.00037176146137767,-0.00037919848589466
108,299.74000736381,299.74000760839,299.74000582307,-0.00037176146137875,-0.00037919848589466
109,299.74000743082,299.74000767751,299.74000588886,-0.0003717614613776,-0.00037919848589466
110,299.74000749788,299.74000774668,299.74000595474,-0.00037176146137756,-0.00037919848589584
111,299.74000756499,299.7400078159,299.74000602071,-0.00037176146137756,-0.00037919848589466
112,299.74000763215,299.74000788517,299.74000608677,-0.00037176146137753,-0.00037919848589466
113,299.74000769936,299.74000795449,299.74000615292,-0.00037176146137749,-0.00037919848589584
114,299.74000776663,299.74000802386,299.74000621915,-0.00037176146137749,-0.00037919848589584
115,299.74000783394,299.74000809327,299.74000628547,-0.00037176146137742,-0.00037919848589584
116,299.74000790129,299.74000816273,299.74000635187,-0.00037176146137739,-0.00037919848589584
117,299.7400079687,299.74000823222,299.74000641835,-0.00037176146137735,-0.00037919848589584
