time,Tf_1,Tf_2,Ts,v_1,v_2
0,0,0,0,0,0
1,299.75000018313,299.75000019244,299.75000000001,-0.00038401440885141,-0.00040666167589124
2,299.75000035244,299.75000037119,299.7500000001,-0.00038401640415259,-0.00040666287386965
3,299.75000051264,299.75000053943,299.7500000004,-0.00038401640430204,-0.00040666287391248
4,299.7500006635,299.75000069712,299.75000000111,-0.00038401640429981,-0.00040666287391486
5,299.75000080534,299.75000084479,299.75000000249,-0.00038401640429981,-0.0004066628739208
6,299.7500009387,299.75000098315,299.75000000482,-0.00038401640429981,-0.00040666287391961
7,299.7500010642,299.75000111297,299.75000000838,-0.00038401640430093,-0.00040666287391961
8,299.75000118248,299.75000123497,299.75000001342,-0.00038401640430204,-0.00040666287391724
9,299.75000129411,299.75000134984,299.75000002011,-0.00038401640430093,-0.00040666287391842
10,299.75000139968,299.75000145824,299.75000002861,-0.00038401640430204,-0.00040666287391842
11,299.75000149969,299.75000156074,299.75000003902,-0.00038401640430316,-0.00040666287391842
12,299.75000159463,299.7500016579,299.75000005138,-0.00038401640430093,-0.00040666287391724
13,299.75000168495,299.75000175021,299.75000006571,-0.00038401640430204,-0.00040666287391961
14,299.75000177107,299.75000183814,299.750000082,-0.00038401640430204,-0.00040666287391842
15,299.75000185337,299.75000192212,299.75000010021,-0.00038401640430204,-0.00040666287391842
16,299.7500019322,299.75000200252,299.75000012029,-0.00038401640430204,-0.00040666287391842
17,299.75000200789,299.75000207971,299.75000014219,-0.00038401640430204,-0.00040666287391961
18,299.75000208074,299.750002154,299.75000016581,-0.00038401640430316,-0.00040666287391724
19,299.75000215102,299.7500022257,299.75000019109,-0.00038401640430204,-0.00040666287391961
20,299.75000221899,299.75000229507,299.75000021795,-0.00038401640430204,-0.00040666287391961
21,299.75000228489,299.75000236236,299.7500002463,-0.00038401640430316,-0.00040666287391961
22,299.75000234891,299.7500024278,299.75000027606,-0.00038401640430204,-0.00040666287391961
23,299.75000241127,299.75000249159,299.75000030715,-0.00038401640430427,-0.00040666287391961
24,299.75000247214,299.75000255392,299.75000033949,-0.00038401640430316,-0.00040666287391842
25,299.75000253167,299.75000261495,299.75000037301,-0.00038401640430204,-0.0004066628739208
26,299.75000259003,299.75000267485,299.75000040763,-0.00038401640430204,-0.00040666287391961
27,299.75000264735,299.75000273374,299.75000044329,-0.00038401640430316,-0.00040666287391842
28,299.75000270374,299.75000279176,299.75000047993,-0.00038401640430427,-0.00040666287391842
29,299.75000275933,299.75000284901,299.75000051747,-0.00038401640430316,-0.00040666287391842
30,299.75000281422,299.75000290562,299.75000055586,-0.00038401640430316,-0.00040666287391961
31,299.7500028685,299.75000296166,299.75000059506,-0.00038401640430316,-0.00040666287391842
32,299.75000292225,299.75000301722,299.75000063499,-0.00038401640430427,-0.00040666287391961
33,299.75000297556,299.75000307239,299.75000067563,-0.00038401640430427,-0.00040666287391961
34,299.7500030285,299.75000312723,299.75000071692,-0.00038401640430316,-0.00040666287391961
35,299.75000308112,299.7500031818,299.75000075882,-0.00038401640430316,-0.00040666287391961
36,299.7500031335,299.75000323616,299.7500008013,-0.00038401640430427,-0.00040666287391842
37,299.75000318567,299.75000329037,299.75000084431,-0.00038401640430427,-0.0004066628739208
38,299.75000323768,299.75000334446,299.75000088783,-0.00038401640430427,-0.00040666287391961
39,299.75000328959,299.75000339848,299.75000093182,-0.00038401640430539,-0.00040666287391961
40,299.75000334142,299.75000345247,299.75000097625,-0.00038401640430539,-0.00040666287391961
41,299.75000339322,299.75000350645,299.75000102111,-0.00038401640430427,-0.0004066628739208
42,299.75000344501,299.75000356047,299.75000106635,-0.00038401640430427,-0.00040666287391961
43,299.75000349682,299.75000361454,299.75000111197,-0.00038401640430427,-0.0004066628739208
44,299.75000354868,299.75000366868,299.75000115793,-0.00038401640430427,-0.0004066628739208
45,299.75000360061,299.75000372293,299.75000120423,-0.00038401640430316,-0.00040666287391961
46,299.75000365263,299.7500037773,299.75000125084,-0.00038401640430539,-0.00040666287391961
47,299.75000370476,299.7500038318,299.75000129775,-0.00038401640430316,-0.00040666287392199
48,299.75000375701,299.75000388646,299.75000134494,-0.00038401640430427,-0.0004066628739208
49,299.7500038094,299.75000394127,299.75000139239,-0.00038401640430427,-0.00040666287391961
50,299.75000386194,299.75000399626,299.75000144011,-0.00038401640430316,-0.0004066628739208
51,299.75000391464,299.75000405143,299.75000148807,-0.00038401640430427,-0.00040666287391961
52,299.75000396751,299.75000410679,299.75000153626,-0.00038401640430427,-0.00040666287391842
53,299.75000402056,299.75000416234,299.75000158468,-0.00038401640430427,-0.0004066628739208
54,299.7500040738,299.7500042181,299.75000163332,-0.00038401640430539,-0.0004066628739208
55,299.75000412723,299.75000427407,299.75000168217,-0.00038401640430427,-0.00040666287391961
56,299.75000418085,299.75000433026,299.75000173122,-0.00038401640430539,-0.00040666287391961
57,299.75000423468,299.75000438665,299.75000178047,-0.00038401640430539,-0.0004066628739208
58,299.75000428871,299.75000444327,299.7500018299,-0.00038401640430539,-0.0004066628739208
59,299.75000434295,299.7500045001,299.75000187953,-0.00038401640430316,-0.0004066628739208
60,299.7500043974,299.75000455716,299.75000192933,-0.00038401640430539,-0.00040666287391842
61,299.75000445206,299.75000461443,299.75000197931,-0.00038401640430427,-0.00040666287391961
62,299.75000450694,299.75000467193,299.75000202947,-0.00038401640430539,-0.0004066628739208
63,299.75000456202,299.75000472965,299.7500020798,-0.00038401640430427,-0.0004066628739208
64,299.75000461732,299.75000478759,299.75000213029,-0.00038401640430427,-0.0004066628739208
65,299.75000467283,299.75000484576,299.75000218095,-0.00038401640430539,-0.00040666287391961
66,299.75000472856,299.75000490414,299.75000223177,-0.00038401640430427,-0.0004066628739208
67,299.75000478449,299.75000496273,299.75000228275,-0.00038401640430539,-0.0004066628739208
68,299.75000484064,299.75000502155,299.7500023339,-0.00038401640430316,-0.0004066628739208
69,299.750004897,299.75000508058,299.7500023852,-0.00038401640430539,-0.0004066628739208
70,299.75000495356,299.75000513982,299.75000243665,-0.00038401640430539,-0.0004066628739208
71,299.75000501033,299.75000519926,299.75000248827,-0.00038401640430427,-0.0004066628739208
72,299.7500050673,299.75000525892,299.75000254004,-0.00038401640430539,-0.0004066628739208
73,299.75000512448,299.75000531878,299.75000259196,-0.0003840164043065,-0.0004066628739208
74,299.75000518186,299.75000537884,299.75000264403,-0.00038401640430427,-0.0004066628739208
75,299.75000523943,299.7500054391,299.75000269626,-0.00038401640430539,-0.0004066628739208
76,299.7500052972,299.75000549956,299.75000274864,-0.00038401640430427,-0.0004066628739208
77,299.75000535516,299.75000556021,299.75000280117,-0.0003840164043065,-0.0004066628739208
78,299.75000541331,299.75000562105,299.75000285385,-0.00038401640430539,-0.0004066628739208
79,299.75000547164,299.75000568208,299.75000290669,-0.00038401640430539,-0.0004066628739208
80,299.75000553017,299.7500057433,299.75000295967,-0.00038401640430539,-0.00040666287392318
81,299.75000558887,299.7500058047,299.75000301281,-0.00038401640430539,-0.0004066628739208
82,299.75000564776,299.75000586627,299.7500030661,-0.00038401640430539,-0.0004066628739208
83,299.75000570682,299.75000592802,299.75000311954,-0.0003840164043065,-0.0004066628739208
84,299.75000576605,299.75000598995,299.75000317313,-0.0003840164043065,-0.0004066628739208
85,299.75000582546,299.75000605205,299.75000322687,-0.00038401640430539,-0.0004066628739208
86,299.75000588503,299.75000611431,299.75000328076,-0.00038401640430427,-0.00040666287392199
87,299.75000594478,299.75000617674,299.75000333481,-0.0003840164043065,-0.0004066628739208
88,299.75000600468,299.75000623933,299.750003389,-0.00038401640430539,-0.0004066628739208
89,299.75000606474,299.75000630207,299.75000344335,-0.00038401640430427,-0.0004066628739208
90,299.75000612497,299.75000636498,299.75000349784,-0.00038401640430539,-0.0004066628739208
91,299.75000618534,299.75000642803,299.75000355249,-0.00038401640430539,-0.0004066628739208
92,299.75000624587,299.75000649124,299.75000360728,-0.00038401640430539,-0.00040666287392199
93,299.75000630655,299.75000655459,299.75000366223,-0.00038401640430427,-0.00040666287392199
94,299.75000636738,299.75000661809,299.75000371733,-0.00038401640430427,-0.00040666287391961
95,299.75000642835,299.75000668173,299.75000377257,-0.00038401640430539,-0.0004066628739208
96,299.75000648947,299.75000674551,299.75000382797,-0.00038401640430539,-0.0004066628739208
