time,Tf_1,Tf_2,Ts,v_1,v_2
0,0,0,0,0,0
1,304.2600000217,304.26000002206,304.26000000006,-0.0001254768093258,-0.00012307305716681
2,304.26000003815,304.26000003861,304.26000000029,-0.00012547703710815,-0.00012307308812966
3,304.26000005399,304.26000005449,304.26000000083,-0.00012547703713726,-0.000123073088102
4,304.26000006919,304.2600000697,304.26000000178,-0.00012547703713517,-0.00012307308809969
5,304.26000008376,304.26000008426,304.26000000318,-0.00012547703713538,-0.00012307308809969
6,304.26000009775,304.26000009823,304.26000000506,-0.00012547703713553,-0.00012307308809854
7,304.2600001112,304.26000011167,304.26000000741,-0.00012547703713567,-0.00012307308809969
8,304.26000012418,304.26000012463,304.26000001019,-0.00012547703713463,-0.00012307308809969
9,304.26000012418,304.26000012463,304.26000001019,-0.00012547703713463,-0.00012307308809969
10,304.26000013671,304.26000013715,304.26000001339,-0.00012547703713477,-0.00012307308810085
11,304.26000014885,304.26000014927,304.26000001695,-0.00012547703713373,-0.00012307308809969
12,304.26000016063,304.26000016103,304.26000002086,-0.00012547703713499,-0.00012307308809969
13,304.26000017208,304.26000017247,304.26000002506,-0.00012547703713394,-0.00012307308809969
14,304.26000018322,304.26000018361,304.26000002954,-0.00012547703713524,-0.00012307308809969
15,304.2600001941,304.26000019448,304.26000003426,-0.00012547703713419,-0.00012307308809854
16,304.26000020472,304.2600002051,304.26000003921,-0.00012547703713427,-0.00012307308809854
17,304.26000021511,304.26000021549,304.26000004435,-0.00012547703713434,-0.00012307308809969
18,304.26000022528,304.26000022566,304.26000004967,-0.00012547703713441,-0.00012307308810085
19,304.26000023526,304.26000023564,304.26000005515,-0.00012547703713448,-0.00012307308809739
20,304.26000023526,304.26000023564,304.26000005515,-0.00012547703713448,-0.00012307308809739
21,304.26000024506,304.26000024544,304.26000006078,-0.0001254770371334,-0.00012307308809969
22,304.26000025469,304.26000025508,304.26000006654,-0.00012547703713463,-0.00012307308809854
23,304.26000026417,304.26000026455,304.26000007242,-0.00012547703713585,-0.00012307308809854
24,304.2600002735,304.26000027389,304.2600000784,-0.00012547703713589,-0.00012307308809969
25,304.2600002827,304.26000028309,304.26000008449,-0.00012547703713477,-0.00012307308809739
26,304.26000029177,304.26000029217,304.26000009066,-0.00012547703713481,-0.00012307308809739
27,304.26000030073,304.26000030114,304.26000009691,-0.00012547703713488,-0.00012307308809969
28,304.26000030958,304.26000031,304.26000010324,-0.00012547703713492,-0.00012307308809854
29,304.26000031833,304.26000031876,304.26000010964,-0.0001254770371338,-0.00012307308809854
30,304.26000032699,304.26000032742,304.2600001161,-0.00012547703713495,-0.00012307308809854
31,304.26000032699,304.26000032742,304.2600001161,-0.00012547703713495,-0.00012307308809854
32,304.26000032699,304.26000032742,304.2600001161,-0.00012547703713495,-0.00012307308809854
33,304.26000033557,304.260000336,304.26000012261,-0.00012547703713499,-0.00012307308809854
34,304.26000033557,304.260000336,304.26000012261,-0.00012547703713499,-0.00012307308809854
35,304.26000033557,304.260000336,304.26000012261,-0.00012547703713499,-0.00012307308809854
36,304.26000034406,304.2600003445,304.26000012918,-0.00012547703713502,-0.00012307308809854
37,304.26000034406,304.2600003445,304.26000012918,-0.00012547703713502,-0.00012307308809854
38,304.26000035247,304.26000035293,304.2600001358,-0.00012547703713394,-0.00012307308809739
39,304.26000036082,304.26000036128,304.26000014246,-0.0001254770371351,-0.00012307308809739
40,304.2600003691,304.26000036957,304.26000014916,-0.00012547703713398,-0.00012307308809739
41,304.26000037732,304.26000037779,304.2600001559,-0.00012547703713517,-0.00012307308809739
42,304.26000038548,304.26000038596,304.26000016267,-0.00012547703713401,-0.00012307308809739
43,304.26000038548,304.26000038596,304.26000016267,-0.00012547703713401,-0.00012307308809739
44,304.26000039359,304.26000039408,304.26000016948,-0.00012547703713401,-0.00012307308809854
45,304.26000040164,304.26000040214,304.26000017631,-0.00012547703713405,-0.00012307308809854
46,304.26000040965,304.26000041015,304.26000018318,-0.00012547703713405,-0.00012307308809854
47,304.26000040965,304.26000041015,304.26000018318,-0.00012547703713405,-0.00012307308809854
48,304.26000041761,304.26000041812,304.26000019006,-0.00012547703713409,-0.00012307308809854
49,304.26000042553,304.26000042605,304.26000019698,-0.00012547703713409,-0.00012307308809739
50,304.26000043342,304.26000043393,304.26000020391,-0.00012547703713528,-0.00012307308809854
