time,Tf_1,Tf_2,Ts,v_1,v_2
0,0,0,0,0,0
1,297.39000012845,297.39000012882,297.39,-0.0003291119420091,-0.00032627706918181
2,297.39000024667,297.39000024715,297.39,-0.00032911321209553,-0.0003262785386235
3,297.39000036087,297.39000036082,297.39,-0.00032911321254473,-0.00032627853873875
4,297.39000047052,297.39000046994,297.39,-0.00032911321259731,-0.00032627853859815
5,297.39000057551,297.39000057482,297.39,-0.00032911321257844,-0.00032627853860276
6,297.39000067614,297.39000067578,297.39,-0.00032911321248163,-0.00032627853862004
7,297.39000077281,297.39000077309,297.39,-0.00032911321248681,-0.00032627853861543
8,297.39000086594,297.39000086702,297.39000000001,-0.00032911321249027,-0.00032627853860506
9,297.39000095597,297.39000095781,297.39000000001,-0.00032911321247788,-0.00032627853853821
10,297.39000104309,297.39000104565,297.39000000003,-0.00032911321247313,-0.00032627853854282
11,297.39000112745,297.39000113074,297.39000000005,-0.00032911321246635,-0.00032627853854398
12,297.3900012092,297.39000121321,297.39000000008,-0.00032911321246174,-0.00032627853854743
13,297.39000128849,297.39000129321,297.39000000014,-0.00032911321245829,-0.00032627853854743
14,297.39000136546,297.39000137085,297.39000000022,-0.00032911321245555,-0.00032627853855089
15,297.39000144026,297.39000144625,297.39000000033,-0.00032911321245252,-0.00032627853854974
16,297.390001513,297.39000151951,297.39000000049,-0.0003291132124495,-0.0003262785385532
17,297.39000158376,297.39000159072,297.39000000069,-0.00032911321244907,-0.00032627853855204
18,297.39000165263,297.39000165998,297.39000000096,-0.00032911321244691,-0.00032627853855204
19,297.3900017197,297.39000172736,297.3900000013,-0.00032911321244489,-0.0003262785385532
20,297.39000178502,297.39000179295,297.39000000173,-0.00032911321244302,-0.00032627853855435
21,297.39000184867,297.3900018568,297.39000000225,-0.00032911321244273,-0.00032627853855435
22,297.3900019107,297.390001919,297.39000000289,-0.00032911321244172,-0.0003262785385532
23,297.39000197118,297.39000197961,297.39000000364,-0.00032911321244028,-0.00032627853855435
24,297.39000203014,297.39000203868,297.39000000453,-0.00032911321243985,-0.00032627853855435
25,297.39000208766,297.39000209627,297.39000000557,-0.00032911321243913,-0.0003262785385555
26,297.39000214377,297.39000215244,297.39000000677,-0.00032911321243797,-0.0003262785385555
27,297.39000219853,297.39000220724,297.39000000813,-0.00032911321243797,-0.00032627853855435
28,297.39000225198,297.39000226072,297.39000000968,-0.00032911321243797,-0.00032627853855435
29,297.39000230418,297.39000231292,297.39000001142,-0.00032911321243668,-0.0003262785385555
30,297.39000235516,297.39000236391,297.39000001336,-0.0003291132124374,-0.00032627853855435
