time,Tf_1,Tf_2,Ts,v_1,v_2
0,0,0,0,0,0
1,304.33000002937,304.33000002848,304.33,-0.00014534418114734,-0.00014409203073768
2,304.33000005246,304.33000005158,304.33,-0.00014534441325333,-0.0001440925525179
3,304.33000007481,304.3300000739,304.33,-0.00014534441361796,-0.00014409255257553
4,304.33000009645,304.33000009543,304.33,-0.00014534441361652,-0.00014409255257322
5,304.33000011745,304.33000011623,304.33,-0.00014534441361738,-0.00014409255257092
6,304.33000013786,304.33000013638,304.33,-0.00014534441361652,-0.00014409255257092
7,304.33000015773,304.33000015593,304.33,-0.00014534441361537,-0.00014409255256977
8,304.3300001771,304.33000017494,304.33,-0.00014534441361652,-0.00014409255256977
9,304.33000019598,304.33000019346,304.33,-0.00014534441361767,-0.00014409255256861
10,304.33000021443,304.33000021154,304.33000000001,-0.00014534441361652,-0.00014409255257092
11,304.33000023245,304.33000022921,304.33000000001,-0.00014534441361537,-0.00014409255256977
12,304.33000025008,304.33000024651,304.33000000002,-0.00014534441361551,-0.00014409255256977
13,304.33000026733,304.33000026347,304.33000000003,-0.0001453444136158,-0.00014409255256977
14,304.33000026733,304.33000026347,304.33000000003,-0.0001453444136158,-0.00014409255256977
15,304.33000026733,304.33000026347,304.33000000003,-0.0001453444136158,-0.00014409255256977
16,304.33000028424,304.33000028011,304.33000000004,-0.00014534441361609,-0.00014409255257092
17,304.33000030082,304.33000029645,304.33000000007,-0.00014534441361609,-0.00014409255256861
18,304.33000031709,304.33000031251,304.3300000001,-0.00014534441361623,-0.00014409255256977
19,304.33000033307,304.3300003283,304.33000000014,-0.00014534441361537,-0.00014409255256861
20,304.33000034877,304.33000034385,304.33000000019,-0.00014534441361436,-0.00014409255256977
21,304.33000034877,304.33000034385,304.33000000019,-0.00014534441361436,-0.00014409255256977
22,304.33000036421,304.33000035916,304.33000000026,-0.00014534441361465,-0.00014409255256861
23,304.33000037941,304.33000037424,304.33000000034,-0.00014534441361392,-0.00014409255256746
24,304.33000039437,304.33000038911,304.33000000044,-0.00014534441361652,-0.00014409255256861
25,304.3300004091,304.33000040377,304.33000000057,-0.00014534441361436,-0.00014409255256746
26,304.33000042363,304.33000041823,304.33000000072,-0.00014534441361493,-0.00014409255256861
27,304.33000043794,304.33000043249,304.33000000089,-0.00014534441361537,-0.00014409255256861
28,304.33000045206,304.33000044658,304.3300000011,-0.00014534441361436,-0.00014409255256746
29,304.33000045206,304.33000044658,304.3300000011,-0.00014534441361436,-0.00014409255256746
30,304.330000466,304.33000046048,304.33000000133,-0.00014534441361493,-0.00014409255256861
