time,Tf_1,Tf_2,Ts,hsf,v_1,v_2
0,0,0,0,0,0,0
1,299.76000021566,299.76000023033,299.76,100000000000,-0.00043004266207419,-0.00043710788077227
2,299.76000041942,299.76000043281,299.76,100000000000,-0.0004300450021664,-0.00043710977798766
3,299.76000061352,299.76000062322,299.76,100000000000,-0.0004300450023328,-0.0004371097781421
4,299.7600007982,299.76000080531,299.76,100000000000,-0.00043004500233698,-0.00043710977814556
5,299.7600009739,299.76000097866,299.76000000001,100000000000,-0.00043004500233683,-0.00043710977814441
6,299.76000114116,299.76000114421,299.76000000003,100000000000,-0.00043004500233662,-0.00043710977814441
7,299.76000130054,299.76000130238,299.76000000007,100000000000,-0.00043004500233755,-0.00043710977814441
8,299.76000145253,299.76000145354,299.76000000014,100000000000,-0.00043004500233734,-0.00043710977814556
9,299.76000159763,299.76000159805,299.76000000027,100000000000,-0.00043004500233705,-0.00043710977814441
10,299.76000173624,299.76000173625,299.76000000048,100000000000,-0.00043004500233683,-0.00043710977814556
11,299.76000186877,299.7600018685,299.7600000008,100000000000,-0.00043004500233777,-0.00043710977814441
12,299.76000199558,299.76000199511,299.76000000126,100000000000,-0.00043004500233748,-0.00043710977814441
13,299.76000211698,299.7600021164,299.76000000191,100000000000,-0.00043004500233719,-0.00043710977814556
14,299.76000223331,299.76000223264,299.76000000278,100000000000,-0.00043004500233813,-0.00043710977814441
15,299.76000234483,299.76000234411,299.76000000393,100000000000,-0.00043004500233676,-0.00043710977814441
16,299.76000245184,299.76000245107,299.76000000539,100000000000,-0.0004300450023377,-0.00043710977814556
17,299.76000255457,299.76000255379,299.76000000721,100000000000,-0.00043004500233748,-0.00043710977814441
18,299.76000265328,299.76000265249,299.76000000943,100000000000,-0.00043004500233719,-0.00043710977814441
19,299.76000274821,299.7600027474,299.7600000121,100000000000,-0.00043004500233813,-0.00043710977814556
20,299.76000283956,299.76000283875,299.76000001524,100000000000,-0.00043004500233799,-0.00043710977814556
21,299.76000292755,299.76000292674,299.76000001891,100000000000,-0.00043004500233885,-0.00043710977814556
22,299.76000301239,299.76000301157,299.76000002313,100000000000,-0.00043004500233863,-0.00043710977814556
23,299.76000309425,299.76000309343,299.76000002793,100000000000,-0.00043004500233842,-0.00043710977814441
24,299.76000317333,299.76000317249,299.76000003334,100000000000,-0.00043004500233827,-0.00043710977814556
25,299.76000324979,299.76000324893,299.76000003938,100000000000,-0.00043004500233914,-0.00043710977814556
26,299.76000332381,299.76000332292,299.76000004608,100000000000,-0.00043004500233784,-0.00043710977814671
