time,Tf_1,Tf_2,Ts,hsf,v_1,v_2
74,303.05000013401,303.05000013481,303.05000011572,100000000000,-4.8687761594897e-05,-4.6958555004493e-05
75,303.05000013566,303.05000013645,303.05000011736,100000000000,-4.8687761593601e-05,-4.6958555006294e-05
76,303.0500001373,303.0500001381,303.05000011899,100000000000,-4.8687761593457e-05,-4.6958555005646e-05
77,303.05000013895,303.05000013974,303.05000012063,100000000000,-4.8687761594465e-05,-4.6958555006222e-05
78,303.05000014059,303.05000014138,303.05000012226,100000000000,-4.8687761594897e-05,-4.6958555004565e-05
79,303.05000014223,303.05000014302,303.05000012389,100000000000,-4.8687761593024e-05,-4.6958555006294e-05
80,303.05000014388,303.05000014467,303.05000012553,100000000000,-4.8687761593601e-05,-4.6958555005646e-05
81,303.05000014552,303.05000014631,303.05000012716,100000000000,-4.8687761593457e-05,-4.6958555005142e-05
82,303.05000014716,303.05000014795,303.0500001288,100000000000,-4.8687761594465e-05,-4.6958555004493e-05
83,303.0500001488,303.05000014959,303.05000013043,100000000000,-4.8687761593169e-05,-4.695855500507e-05
84,303.05000015044,303.05000015123,303.05000013206,100000000000,-4.8687761593457e-05,-4.6958555004493e-05
85,303.05000015209,303.05000015287,303.05000013369,100000000000,-4.8687761593457e-05,-4.6958555006222e-05
86,303.05000015373,303.05000015451,303.05000013533,100000000000,-4.8687761593313e-05,-4.6958555005646e-05
87,303.05000015537,303.05000015615,303.05000013696,100000000000,-4.8687761593601e-05,-4.6958555004998e-05
88,303.05000015701,303.05000015779,303.05000013859,100000000000,-4.8687761593457e-05,-4.6958555004421e-05
89,303.05000015865,303.05000015942,303.05000014022,100000000000,-4.8687761593889e-05,-4.6958555004926e-05
90,303.05000016029,303.05000016106,303.05000014186,100000000000,-4.8687761594753e-05,-4.6958555004277e-05
91,303.05000016193,303.0500001627,303.05000014349,100000000000,-4.8687761594753e-05,-4.6958555004926e-05
92,303.05000016356,303.05000016434,303.05000014512,100000000000,-4.8687761593889e-05,-4.6958555005358e-05
93,303.0500001652,303.05000016598,303.05000014675,100000000000,-4.8687761593601e-05,-4.6958555004782e-05
94,303.05000016684,303.05000016761,303.05000014838,100000000000,-4.8687761594033e-05,-4.6958555006438e-05
95,303.05000016848,303.05000016925,303.05000015001,100000000000,-4.8687761593889e-05,-4.6958555005862e-05
96,303.05000017012,303.05000017089,303.05000015165,100000000000,-4.8687761593745e-05,-4.6958555005214e-05
97,303.05000017175,303.05000017252,303.05000015328,100000000000,-4.8687761594033e-05,-4.6958555004565e-05
