time,Tf_1,Tf_2,Ts,v_1,v_2
0,0,0,0,0,0
1,297.39000010655,297.39000010265,297.39000000001,-0.00029356687150427,-0.00029412103159048
2,297.39000020326,297.39000019972,297.39000000005,-0.00029356803668826,-0.00029412226622854
3,297.39000029403,297.3900002915,297.39000000021,-0.00029356803701213,-0.00029412226659619
4,297.39000038134,297.39000037935,297.3900000006,-0.00029356803701097,-0.00029412226659735
5,297.39000046447,297.39000046268,297.39000000135,-0.00029356803700867,-0.0002941222665985
6,297.39000054352,297.3900005418,297.39000000261,-0.00029356803700982,-0.00029412226659619
7,297.39000061874,297.39000061703,297.39000000455,-0.00029356803700867,-0.0002941222665985
8,297.39000069043,297.39000068868,297.3900000073,-0.00029356803700867,-0.00029412226659735
9,297.39000075884,297.39000075704,297.39000001096,-0.00029356803700752,-0.00029412226659619
10,297.39000082422,297.39000082237,297.39000001562,-0.00029356803700752,-0.00029412226659504
11,297.3900008868,297.39000088491,297.39000002133,-0.00029356803700752,-0.00029412226659619
12,297.39000094679,297.39000094487,297.39000002814,-0.00029356803700752,-0.00029412226659619
13,297.39000100438,297.39000100245,297.39000003604,-0.00029356803700752,-0.00029412226659504
14,297.39000105975,297.39000105781,297.39000004505,-0.00029356803700752,-0.00029412226659504
15,297.39000111307,297.39000111113,297.39000005514,-0.00029356803700636,-0.00029412226659619
16,297.39000116448,297.39000116255,297.39000006629,-0.00029356803700636,-0.00029412226659619
17,297.39000121412,297.39000121222,297.39000007847,-0.00029356803700636,-0.00029412226659504
18,297.39000126213,297.39000126027,297.39000009164,-0.00029356803700752,-0.00029412226659504
19,297.39000130864,297.39000130681,297.39000010576,-0.00029356803700636,-0.00029412226659504
20,297.39000135374,297.39000135195,297.39000012079,-0.00029356803700636,-0.00029412226659389
21,297.39000139755,297.39000139581,297.39000013668,-0.00029356803700636,-0.00029412226659504
22,297.39000144017,297.39000143847,297.3900001534,-0.00029356803700636,-0.00029412226659619
23,297.39000148168,297.39000148003,297.3900001709,-0.00029356803700636,-0.00029412226659504
24,297.39000152218,297.39000152057,297.39000018914,-0.00029356803700636,-0.00029412226659619
25,297.39000156174,297.39000156018,297.39000020808,-0.00029356803700636,-0.00029412226659619
26,297.39000160043,297.39000159891,297.39000022767,-0.00029356803700636,-0.00029412226659389
27,297.39000163833,297.39000163685,297.39000024789,-0.00029356803700521,-0.00029412226659619
28,297.39000167549,297.39000167405,297.3900002687,-0.00029356803700636,-0.00029412226659735
29,297.39000171199,297.39000171058,297.39000029006,-0.00029356803700752,-0.00029412226659504
30,297.39000174786,297.39000174648,297.39000031194,-0.00029356803700867,-0.00029412226659504
31,297.39000178317,297.39000178182,297.39000033432,-0.00029356803700752,-0.00029412226659735
32,297.39000181796,297.39000181663,297.39000035715,-0.00029356803700636,-0.00029412226659504
33,297.39000185227,297.39000185097,297.39000038042,-0.00029356803700752,-0.00029412226659619
34,297.39000188615,297.39000188487,297.3900004041,-0.00029356803700636,-0.0002941222665985
35,297.39000191964,297.39000191837,297.39000042817,-0.00029356803700752,-0.00029412226659735
36,297.39000195276,297.39000195151,297.39000045259,-0.00029356803700752,-0.00029412226659735
37,297.39000198557,297.39000198432,297.39000047736,-0.00029356803700636,-0.00029412226659504
38,297.39000201807,297.39000201683,297.39000050245,-0.00029356803700752,-0.0002941222665985
39,297.39000205031,297.39000204908,297.39000052784,-0.00029356803700752,-0.00029412226659735
40,297.39000208231,297.39000208109,297.39000055351,-0.00029356803700752,-0.00029412226659735
41,297.3900021141,297.39000211287,297.39000057946,-0.00029356803700867,-0.00029412226659735
42,297.39000214569,297.39000214447,297.39000060565,-0.00029356803700752,-0.0002941222665985
43,297.39000217711,297.39000217589,297.39000063208,-0.00029356803700867,-0.00029412226659735
44,297.39000220838,297.39000220716,297.39000065873,-0.00029356803700752,-0.0002941222665985
45,297.39000223952,297.3900022383,297.3900006856,-0.00029356803700867,-0.0002941222665985
46,297.39000227054,297.39000226932,297.39000071266,-0.00029356803700982,-0.00029412226659735
47,297.39000230146,297.39000230025,297.39000073991,-0.00029356803700752,-0.0002941222665985
48,297.39000233229,297.39000233108,297.39000076734,-0.00029356803700752,-0.0002941222666008
49,297.39000236306,297.39000236185,297.39000079493,-0.00029356803700867,-0.0002941222665985
50,297.39000239376,297.39000239256,297.39000082268,-0.00029356803700867,-0.0002941222666008
51,297.39000242442,297.39000242322,297.39000085058,-0.00029356803700752,-0.0002941222665985
52,297.39000245504,297.39000245385,297.39000087863,-0.00029356803700982,-0.0002941222666008
53,297.39000248564,297.39000248445,297.3900009068,-0.00029356803700982,-0.00029412226659735
54,297.39000251622,297.39000251503,297.39000093511,-0.00029356803700867,-0.00029412226659965
55,297.39000254679,297.39000254561,297.39000096353,-0.00029356803700982,-0.00029412226659965
56,297.39000257736,297.39000257619,297.39000099207,-0.00029356803700982,-0.0002941222665985
57,297.39000260793,297.39000260677,297.39000102072,-0.00029356803700982,-0.00029412226659965
58,297.39000263852,297.39000263737,297.39000104947,-0.00029356803700982,-0.00029412226659965
59,297.39000266914,297.39000266799,297.39000107833,-0.00029356803701097,-0.00029412226659965
60,297.39000269977,297.39000269864,297.39000110727,-0.00029356803700982,-0.00029412226659965
61,297.39000273044,297.39000272932,297.39000113631,-0.00029356803700982,-0.0002941222665985
62,297.39000276114,297.39000276004,297.39000116543,-0.00029356803700982,-0.0002941222666008
63,297.39000279189,297.39000279079,297.39000119464,-0.00029356803700867,-0.00029412226659965
64,297.39000282267,297.39000282159,297.39000122393,-0.00029356803701097,-0.00029412226659965
65,297.39000285351,297.39000285244,297.39000125329,-0.00029356803700867,-0.0002941222666008
66,297.39000288439,297.39000288334,297.39000128273,-0.00029356803700982,-0.0002941222666008
67,297.39000291534,297.39000291429,297.39000131224,-0.00029356803701097,-0.0002941222666008
68,297.39000294633,297.39000294531,297.39000134182,-0.00029356803700867,-0.00029412226659965
69,297.39000297739,297.39000297638,297.39000137146,-0.00029356803701213,-0.0002941222666008
70,297.39000300851,297.39000300751,297.39000140117,-0.00029356803700867,-0.0002941222666008
71,297.39000303969,297.39000303871,297.39000143095,-0.00029356803701097,-0.0002941222666008
72,297.39000307094,297.39000306998,297.39000146078,-0.00029356803701097,-0.0002941222666008
73,297.39000310226,297.39000310131,297.39000149068,-0.00029356803700982,-0.0002941222666008
74,297.39000313365,297.39000313271,297.39000152063,-0.00029356803700982,-0.0002941222666008
75,297.3900031651,297.39000316418,297.39000155064,-0.00029356803701213,-0.0002941222666008
76,297.39000319663,297.39000319572,297.3900015807,-0.00029356803701097,-0.00029412226660196
77,297.39000322823,297.39000322733,297.39000161083,-0.00029356803701097,-0.00029412226660196
78,297.3900032599,297.39000325901,297.390001641,-0.00029356803701097,-0.00029412226660196
79,297.39000329164,297.39000329077,297.39000167123,-0.00029356803700982,-0.00029412226660196
80,297.39000332346,297.3900033226,297.39000170151,-0.00029356803700982,-0.0002941222666008
81,297.39000335536,297.39000335451,297.39000173184,-0.00029356803700982,-0.0002941222666008
82,297.39000338732,297.39000338649,297.39000176222,-0.00029356803701097,-0.00029412226660311
83,297.39000341937,297.39000341855,297.39000179266,-0.00029356803701097,-0.00029412226660196
84,297.39000345149,297.39000345068,297.39000182314,-0.00029356803701097,-0.00029412226660196
85,297.39000348368,297.39000348288,297.39000185367,-0.00029356803701097,-0.00029412226660196
86,297.39000351595,297.39000351516,297.39000188426,-0.00029356803701097,-0.00029412226660196
87,297.39000354829,297.39000354752,297.39000191489,-0.00029356803700982,-0.0002941222666008
88,297.39000358071,297.39000357995,297.39000194557,-0.00029356803701213,-0.00029412226660311
89,297.3900036132,297.39000361245,297.3900019763,-0.00029356803700982,-0.00029412226660311
90,297.39000364577,297.39000364503,297.39000200707,-0.00029356803701213,-0.00029412226660196
91,297.39000367841,297.39000367768,297.3900020379,-0.00029356803701097,-0.00029412226660196
92,297.39000371113,297.3900037104,297.39000206877,-0.00029356803701097,-0.00029412226660196
93,297.39000374392,297.3900037432,297.39000209969,-0.00029356803701213,-0.00029412226660196
94,297.39000377678,297.39000377607,297.39000213066,-0.00029356803700982,-0.00029412226660196
95,297.39000380972,297.39000380902,297.39000216168,-0.00029356803701213,-0.00029412226660196
96,297.39000384272,297.39000384203,297.39000219274,-0.00029356803701097,-0.00029412226660196
97,297.3900038758,297.39000387512,297.39000222386,-0.00029356803701213,-0.00029412226660196
98,297.39000390895,297.39000390827,297.39000225501,-0.00029356803701213,-0.00029412226660311
99,297.39000394217,297.3900039415,297.39000228622,-0.00029356803701213,-0.00029412226660196
100,297.39000397546,297.3900039748,297.39000231748,-0.00029356803701097,-0.00029412226660196
101,297.39000400882,297.39000400816,297.39000234878,-0.00029356803701213,-0.0002941222666008
102,297.39000404225,297.39000404159,297.39000238013,-0.00029356803701097,-0.00029412226660196
103,297.39000407574,297.39000407509,297.39000241153,-0.00029356803701213,-0.00029412226660196
104,297.3900041093,297.39000410866,297.39000244298,-0.00029356803701213,-0.00029412226660311
105,297.39000414293,297.3900041423,297.39000247447,-0.00029356803701097,-0.00029412226660196
106,297.39000417663,297.390004176,297.39000250601,-0.00029356803701213,-0.00029412226660196
107,297.39000421039,297.39000420976,297.3900025376,-0.00029356803701213,-0.00029412226660196
108,297.39000424421,297.39000424359,297.39000256924,-0.00029356803701097,-0.00029412226660196
109,297.3900042781,297.39000427749,297.39000260093,-0.00029356803701213,-0.0002941222666008
110,297.39000431205,297.39000431144,297.39000263267,-0.00029356803701213,-0.00029412226660196
111,297.39000434607,297.39000434546,297.39000266445,-0.00029356803701097,-0.00029412226660196
112,297.39000438015,297.39000437954,297.39000269628,-0.00029356803701328,-0.00029412226660311
113,297.39000441428,297.39000441368,297.39000272817,-0.00029356803701213,-0.0002941222666008
114,297.39000444848,297.39000444788,297.3900027601,-0.00029356803701213,-0.00029412226660196
115,297.39000448274,297.39000448215,297.39000279207,-0.00029356803701213,-0.00029412226660311
116,297.39000451705,297.39000451647,297.3900028241,-0.00029356803701328,-0.00029412226660311
117,297.39000455143,297.39000455084,297.39000285618,-0.00029356803701097,-0.00029412226660196
118,297.39000458586,297.39000458528,297.3900028883,-0.00029356803701328,-0.00029412226660311
119,297.39000462035,297.39000461977,297.39000292048,-0.00029356803701213,-0.00029412226660311
