time,T
1.0,299.7570781710739
2.0,299.75717068094366
3.0,299.7578401312693
4.0,299.7579349821103
5.0,299.75717442118
6.0,299.7570756089192
7.0,299.75669777637836
8.0,299.7561329180396
9.0,299.7568807526101
10.0,299.7583020061115
11.0,299.75839721117717
12.0,299.7582029068301
13.0,299.7579282149921
14.0,299.7593440863906
15.0,299.7593426646422
16.0,299.75915224904054
17.0,299.7581113018634
18.0,299.75773520412474
19.0,299.75858372838894
20.0,299.7585831680048
21.0,299.75886501882394
22.0,299.7593470042491
23.0,299.7594428588207
24.0,299.75848123569745
25.0,299.7571584304255
26.0,299.7572624663111
27.0,299.75736351307165
28.0,299.75821511065266
29.0,299.75925843764907
30.0,299.75896730741147
31.0,299.75830583765423
32.0,299.7577332365436
33.0,299.7581130612768
34.0,299.758875544789
35.0,299.75992209840837
36.0,299.7605886708681
37.0,299.7602885713314
38.0,299.76056256615476
39.0,299.76084387771897
40.0,299.7608447893014
41.0,299.7620842174305
42.0,299.7624697817727
43.0,299.7634177976981
44.0,299.7632292655116
45.0,299.7627590739054
46.0,299.76284932453814
47.0,299.76303844385876
48.0,299.76332086584495
49.0,299.7620955872161
50.0,299.76228409742527
51.0,299.76237588822045
52.0,299.7628438516013
53.0,299.7625619913619
54.0,299.76360486224553
55.0,299.76473670030674
56.0,299.764634188408
57.0,299.76313308382777
58.0,299.76218804472217
59.0,299.76247972108115
60.0,299.76257515428364
61.0,299.7623877527692
62.0,299.7627543781549
63.0,299.7636969105746
64.0,299.7649283198195
65.0,299.76483420758746
66.0,299.7640794558766
67.0,299.765019702413
68.0,299.7651103101358
69.0,299.7643579876198
70.0,299.76445557962745
71.0,299.7649278144478
72.0,299.76454280521637
73.0,299.7634162269841
74.0,299.76379360283954
75.0,299.7649216196665
76.0,299.76455299225665
77.0,299.7642697950355
78.0,299.7640764532644
79.0,299.76322326481875
80.0,299.76359946380575
81.0,299.7650190386502
82.0,299.7661540144861
83.0,299.765487192783
84.0,299.76577032868875
85.0,299.76577032868875
86.0,299.76662682066785
87.0,299.76587290499276
88.0,299.76540118108096
89.0,299.7645488539024
90.0,299.7650189026001
91.0,299.7657708013938
92.0,299.7675677284337
93.0,299.76822945237967
94.0,299.76728995898094
95.0,299.7665322964197
96.0,299.766342668207
97.0,299.76681135126495
98.0,299.76756648039026
99.0,299.7676692622963
100.0,299.7680485417643
101.0,299.7679541089412
102.0,299.76767215137795
103.0,299.7677680245757
104.0,299.7675712386438
105.0,299.7684185878195
106.0,299.7686250354261
107.0,299.76965893809086
108.0,299.76889522144535
109.0,299.7686206198403
110.0,299.76889592825984
111.0,299.7699329354688
112.0,299.7704043794014
113.0,299.7702242310551
114.0,299.77022433759055
115.0,299.7701303283783
116.0,299.7705180419282
117.0,299.7708010695186
118.0,299.7711780474564
119.0,299.7719193040606
120.0,299.77210781426976
121.0,299.7711673779053
122.0,299.77200816349097
123.0,299.77285587447284
124.0,299.77313338551465
125.0,299.7718115123116
126.0,299.77057984082654
127.0,299.7701166888898
128.0,299.77097984957345
129.0,299.77286127830973
130.0,299.773816549534
131.0,299.77314003710717
132.0,299.7737061989206
133.0,299.77398993738524
134.0,299.7743654843629
135.0,299.77342442038497
136.0,299.77332909088125
137.0,299.7739925485284
138.0,299.77579270517674
139.0,299.7759714429013
140.0,299.7752257649039
141.0,299.77476175112196
142.0,299.77589072202613
143.0,299.7767276839833
144.0,299.77691868225224
145.0,299.7758839013539
146.0,299.7759827701687
147.0,299.7764628614096
148.0,299.776369463506
149.0,299.77684085416666
150.0,299.77853339036164
151.0,299.77994536050403
152.0,299.7798509276809
153.0,299.7792883807251
154.0,299.77976579646224
155.0,299.77939070617
156.0,299.77928564785356
157.0,299.778527758368
158.0,299.77853532829147
159.0,299.7797614013488
160.0,299.78108327455186
161.0,299.78099072398146
