time,T
1.0,301.0763217525712
2.0,301.07583392471616
3.0,301.0759299435356
4.0,301.07661963758113
5.0,301.0781692883384
6.0,301.0786576543764
7.0,301.07728513948405
8.0,301.07650331567066
9.0,301.07650412807226
10.0,301.07788305740814
11.0,301.07827192601275
12.0,301.07973810998334
13.0,301.08012442770894
14.0,301.07886699603404
15.0,301.0781756539318
16.0,301.0789571021348
17.0,301.07964054529685
18.0,301.0801466443818
19.0,301.08121257889854
20.0,301.0814107605619
21.0,301.0820758673898
22.0,301.08167580016277
23.0,301.0818748044347
24.0,301.08149719658996
25.0,301.08266821458676
26.0,301.0828634709872
27.0,301.08218077745926
28.0,301.08228408996615
29.0,301.0826804150513
30.0,301.0836491552128
31.0,301.0817815394277
32.0,301.0820761102292
33.0,301.0818788481569
34.0,301.0831578120597
35.0,301.08296754192264
36.0,301.0837453035075
37.0,301.0847151432548
38.0,301.08482013496365
39.0,301.08442522285594
40.0,301.08451490547435
41.0,301.0843227489244
42.0,301.08412091673165
43.0,301.0839213729702
44.0,301.0837345011024
45.0,301.0841233927462
46.0,301.08559083141256
47.0,301.0866626294546
48.0,301.08725555072573
49.0,301.0878412275894
50.0,301.08793841890156
51.0,301.0868637965316
52.0,301.0865639389515
53.0,301.08793031433896
54.0,301.08909377163764
55.0,301.08968839841623
56.0,301.0891061954476
57.0,301.0881287463725
58.0,301.088616591495
59.0,301.08910021092305
60.0,301.08930082979117
61.0,301.0887188633927
62.0,301.0888150426712
63.0,301.0895924029845
64.0,301.09165550704364
65.0,301.0934025769537
66.0,301.09347769288144
67.0,301.09298762156004
68.0,301.0929876333469
69.0,301.0939803387256
70.0,301.09311256956613
71.0,301.09252444852365
72.0,301.0914418999662
73.0,301.09172143455737
74.0,301.09387798853504
75.0,301.0955422000782
76.0,301.09574326695497
77.0,301.0947668273043
78.0,301.09505989485615
79.0,301.0954451982684
80.0,301.09679837730454
81.0,301.0967020214306
82.0,301.09710045415096
83.0,301.0967129908876
84.0,301.09603165707676
85.0,301.09543638779706
86.0,301.09572943177517
87.0,301.0959254143279
88.0,301.0972083439046
89.0,301.0980907328053
90.0,301.09935885795767
91.0,301.10122552991646
92.0,301.1011291504687
93.0,301.10004061630826
94.0,301.0995445203703
95.0,301.09887444802865
96.0,301.0990675762605
97.0,301.09984588007785
98.0,301.1000505615492
99.0,301.1000564592063
100.0,301.0997690764294
101.0,301.10026682916777
102.0,301.10122524334656
103.0,301.10171731760784
104.0,301.10338477261735
105.0,301.10318491169375
106.0,301.10337544587793
107.0,301.1037690650515
108.0,301.1044518618645
109.0,301.104446934825
110.0,301.10464551716797
111.0,301.1058077579766
112.0,301.10639643306064
113.0,301.10610073359453
114.0,301.1057063309358
115.0,301.1059989599618
116.0,301.10531843855256
117.0,301.10522917447054
118.0,301.1043596744026
119.0,301.10562821447786
120.0,301.10719512150536
121.0,301.1093319727662
122.0,301.1091522438719
123.0,301.1097399047922
124.0,301.1101081744874
125.0,301.11000313268363
126.0,301.11107843123887
127.0,301.11155792231074
128.0,301.11195371133
129.0,301.11225100213886
130.0,301.11216800529843
131.0,301.11207571775947
132.0,301.1121452936855
133.0,301.11301876842634
134.0,301.1135204559554
135.0,301.11381798039406
136.0,301.1147061564574
137.0,301.1156736234208
138.0,301.1152787280433
139.0,301.1167343926939
140.0,301.1170343005292
141.0,301.1172303748776
142.0,301.11635204818236
143.0,301.1157755636015
144.0,301.1167525406154
145.0,301.1183097492804
146.0,301.1183114435369
147.0,301.119291059968
148.0,301.11997293719
149.0,301.11997586711357
150.0,301.12037127114877
151.0,301.1203636020525
152.0,301.1201706975844
153.0,301.1200639911356
154.0,301.1206503849984
155.0,301.12113133464567
156.0,301.12132428192365
157.0,301.12172381326803
158.0,301.12360782003054
159.0,301.1248724598275
160.0,301.126135907408
161.0,301.12583754258793
162.0,301.12467659872885
163.0,301.1254529148283
164.0,301.12592872945356
165.0,301.1271893389062
166.0,301.1275973934361
167.0,301.1284697187892
168.0,301.1289614609212
169.0,301.1290667420992
170.0,301.12915447392527
171.0,301.1298257568067
172.0,301.129727020257
173.0,301.12973913066725
174.0,301.13109783711894
175.0,301.1318768894601
176.0,301.13265160607233
177.0,301.1331501367522
178.0,301.1339347078735
179.0,301.1349186864774
180.0,301.1357870307668
181.0,301.13549375363976
182.0,301.1364678011752
183.0,301.1368721244414
184.0,301.13715908772684
185.0,301.13726281410277
186.0,301.13852981299044
187.0,301.13979295923957
188.0,301.13950289291756
189.0,301.13920636618406
190.0,301.1395958149261
191.0,301.141144511676
192.0,301.14252024109305
193.0,301.14233756351985
194.0,301.141443901363
195.0,301.1409460482432
196.0,301.14221394536867
197.0,301.1435805956875
198.0,301.1447562572904
199.0,301.1449605416403
200.0,301.14486957763785
201.0,301.1449666622978
202.0,301.14583905955095
203.0,301.1463233353841
204.0,301.1474011517296
205.0,301.1475124313985
206.0,301.1485972024431
207.0,301.14937289985284
208.0,301.1484934505643
209.0,301.1486818973649
210.0,301.1490852892532
211.0,301.1504598179918
212.0,301.1514135987265
213.0,301.1511292437131
214.0,301.1526970540127
215.0,301.1537615245056
216.0,301.15404847106083
217.0,301.15356280990045
218.0,301.15444469067944
219.0,301.1557254524212
220.0,301.1565972770447
221.0,301.1563012348592
222.0,301.1565998325663
223.0,301.1577709390676
224.0,301.1585415341052
225.0,301.16001236199094
226.0,301.1597173937334
227.0,301.1595184580037
228.0,301.1603937594687
229.0,301.16156372830807
230.0,301.16343911682844
231.0,301.16401087520217
232.0,301.16401053438295
233.0,301.16419678308915
234.0,301.16400349249807
235.0,301.1646072932401
236.0,301.1659651725374
237.0,301.1667439243634
238.0,301.1672358746129
239.0,301.16820870020643
240.0,301.16996184251906
241.0,301.17154753893607
242.0,301.17223119780414
243.0,301.1716456870023
244.0,301.172331063493
245.0,301.17281067354116
246.0,301.17349055891816
247.0,301.17541687240407
248.0,301.1761015512239
249.0,301.1780730895002
250.0,301.1766094198117
251.0,301.1764109184655
252.0,301.1769008280007
253.0,301.17759140117073
254.0,301.17915495969623
255.0,301.1801323562095
256.0,301.18032630368657
257.0,301.1804380298085
258.0,301.1813996920382
259.0,301.182569419077
260.0,301.18402316835244
261.0,301.18488866051337
262.0,301.18519357732583
263.0,301.1852058762763
264.0,301.18520621709547
265.0,301.1865749065488
266.0,301.1882293811112
267.0,301.1883197708063
268.0,301.189200104248
269.0,301.18919731128227
270.0,301.19125666374083
271.0,301.19302076681373
272.0,301.1931076379119
273.0,301.19359639987783
274.0,301.19456882225495
275.0,301.1955529825463
276.0,301.19564043594244
277.0,301.1975031412987
278.0,301.19848161319885
279.0,301.1991701895783
280.0,301.19897884542996
281.0,301.1999487092883
282.0,301.201592019026
283.0,301.2021812603661
284.0,301.20374742966953
285.0,301.2039418227177
286.0,301.2038563886724
287.0,301.20434809794574
288.0,301.2046368000673
289.0,301.2057140235729
290.0,301.2066821201357
291.0,301.2084335893189
292.0,301.21117138775253
293.0,301.21126583594236
294.0,301.2110774192801
295.0,301.2113855798803
296.0,301.21215474091974
297.0,301.21372046161156
298.0,301.2148848811495
299.0,301.2142039588079
300.0,301.21528136501905
301.0,301.2154850092858
302.0,301.21674529905556
303.0,301.21870100791205
304.0,301.21977758107437
305.0,301.22105441072495
306.0,301.2222141394177
307.0,301.2232918893459
308.0,301.22417084591575
309.0,301.22485108898513
310.0,301.22553756688467
311.0,301.2283653747746
312.0,301.229712688581
313.0,301.2300007337602
314.0,301.23097194012473
315.0,301.2317605033833
316.0,301.2334395998751
317.0,301.23381993299074
318.0,301.2345897392005
319.0,301.23625687620466
320.0,301.23527825652826
321.0,301.2351818106968
322.0,301.237723488473
323.0,301.23938587544757
324.0,301.2419311889402
325.0,301.242408431082
326.0,301.24182335774265
327.0,301.24231969997095
328.0,301.2436816388067
329.0,301.2447643172041
330.0,301.2467153502956
331.0,301.2472953813518
332.0,301.2492440367933
333.0,301.24964224208657
334.0,301.2492714615369
335.0,301.2501549835666
336.0,301.25150426305186
337.0,301.2527578907799
338.0,301.2553067331507
339.0,301.2565737202515
340.0,301.25882146611883
341.0,301.2602813146815
342.0,301.2597909358735
343.0,301.260274008589
344.0,301.26007553883886
345.0,301.26115187487744
346.0,301.2638807116093
347.0,301.26496647587584
348.0,301.2657444207036
349.0,301.266921238545
350.0,301.2668282158931
351.0,301.2683987709997
352.0,301.2707286197857
353.0,301.2719020761841
354.0,301.27307403626753
355.0,301.27335406719357
356.0,301.27501784178986
357.0,301.2751263719312
358.0,301.27530899662906
359.0,301.2772676003144
360.0,301.2798059814491
361.0,301.2805757522982
362.0,301.2818471936323
363.0,301.28164796099423
364.0,301.2829359211639
365.0,301.2844141312798
366.0,301.2863528967656
367.0,301.28821273545145
368.0,301.289865836145
369.0,301.2904534644688
370.0,301.291820491273
371.0,301.2930730350305
372.0,301.29454131979276
373.0,301.29677709701957
374.0,301.29657472258504
375.0,301.2978608520504
376.0,301.29942028390207
377.0,301.3005839017218
378.0,301.30038921614494
379.0,301.3000039344063
380.0,301.29981975278787
381.0,301.3038089402904
382.0,301.30468265681696
383.0,301.30693914064295
384.0,301.30791162555226
385.0,301.30937418255786
386.0,301.31261672287314
387.0,301.31416187461656
388.0,301.31484078662567
389.0,301.31532586556756
390.0,301.3152208019587
391.0,301.3174743909429
392.0,301.3196181534381
393.0,301.3201119467083
394.0,301.3219963919513
395.0,301.32160386812967
396.0,301.32091154059003
397.0,301.3229485317762
398.0,301.3253808141777
399.0,301.3285120164903
400.0,301.3312513031791
401.0,301.3314541008698
402.0,301.3329167608398
403.0,301.3333039314972
404.0,301.33476849066454
405.0,301.33680977878697
406.0,301.33846267732116
407.0,301.3400331322988
408.0,301.3412947511247
409.0,301.3422569164763
410.0,301.34537749281674
411.0,301.3476160070994
412.0,301.34801260852026
413.0,301.3488067286156
414.0,301.34880767178043
415.0,301.3508732850091
416.0,301.35262961984057
417.0,301.35398341917636
418.0,301.35563312376735
419.0,301.35748330643685
420.0,301.3577823516153
421.0,301.3601307225284
422.0,301.3606047913907
423.0,301.36168737799244
424.0,301.3630447001915
425.0,301.3648113501602
426.0,301.36804565382266
427.0,301.3692144830326
428.0,301.3688204000567
429.0,301.3691228552627
430.0,301.3712621851843
431.0,301.3732097754622
432.0,301.37839307074915
433.0,301.379756001076
434.0,301.38072633930153
435.0,301.381010764175
436.0,301.3818102151698
437.0,301.3848350788915
438.0,301.3865827663528
439.0,301.3863071178062
440.0,301.38775194312416
441.0,301.3896912755949
442.0,301.3929180195416
443.0,301.3944855324914
444.0,301.3961469905348
445.0,301.3986978521321
446.0,301.399857144333
447.0,301.399372532407
448.0,301.40171191187585
449.0,301.4031607923839
450.0,301.405123189562
451.0,301.4076641203134
452.0,301.4088264317721
453.0,301.4109857695635
454.0,301.41234093320185
455.0,301.41370794791374
456.0,301.4154638630752
457.0,301.4162448135329
458.0,301.4183072903417
459.0,301.4212161683265
460.0,301.4221954306632
461.0,301.4239547956662
462.0,301.4254157461878
463.0,301.42688031714204
464.0,301.43000515538665
465.0,301.43175715191023
466.0,301.43303720977633
467.0,301.43499383173145
468.0,301.4358501811858
469.0,301.4378001417476
470.0,301.44003156193764
471.0,301.4412192827982
472.0,301.44347721686506
473.0,301.4461092492374
474.0,301.44727997192064
475.0,301.4501079372971
476.0,301.450291117193
477.0,301.4506780638117
478.0,301.4515635642388
479.0,301.4529285897545
480.0,301.4560719016842
481.0,301.4588955443999
482.0,301.4604517865958
483.0,301.4631815820825
484.0,301.463951250065
485.0,301.4666012125828
486.0,301.4690400304437
487.0,301.4693205992794
488.0,301.47255143932654
489.0,301.47595697566095
490.0,301.47674764827076
491.0,301.47899211215395
492.0,301.4797619920927
493.0,301.48201565452104
494.0,301.48230961729087
495.0,301.4835687327034
496.0,301.48658969725716
497.0,301.48863904693394
498.0,301.48953027516296
499.0,301.4929600689733
500.0,301.49489171312354
501.0,301.4959643986326
502.0,301.4982080955459
503.0,301.4999572370891
504.0,301.50309248226847
505.0,301.50551231757663
506.0,301.507360555353
507.0,301.5102115095426
508.0,301.51185833636333
509.0,301.5125427820134
510.0,301.51555917569704
511.0,301.5167228795078
512.0,301.5192726457246
513.0,301.5206436191271
514.0,301.52152060763706
515.0,301.52503567288426
516.0,301.52531307529534
517.0,301.5269799695812
518.0,301.5305013421294
519.0,301.5328261688174
520.0,301.5345994689059
521.0,301.5363497333918
522.0,301.5376208284514
523.0,301.54015747825156
524.0,301.54328347445283
525.0,301.5450546446892
526.0,301.54758692121817
527.0,301.54865489390636
528.0,301.55080759085826
529.0,301.5538082684668
530.0,301.55498062931076
531.0,301.55731752489606
532.0,301.56004290735075
533.0,301.5624804900498
