time,T
1.0,298.0835
2.0,298.0825
3.0,298.0825
4.0,298.0805
5.0,298.0765
6.0,298.0765
7.0,298.0855
8.0,298.0915
9.0,298.0915
10.0,298.0885
11.0,298.0885
12.0,298.0875
13.0,298.0855
14.0,298.0855
15.0,298.0875
16.0,298.0895
17.0,298.0895
18.0,298.0835
19.0,298.0825
20.0,298.0835
21.0,298.0855
22.0,298.0855
23.0,298.0845
24.0,298.0835
25.0,298.0835
26.0,298.0935
27.0,298.0955
28.0,298.0945
29.0,298.0885
30.0,298.0885
31.0,298.0845
32.0,298.0795
33.0,298.0795
34.0,298.0825
35.0,298.0835
36.0,298.0835
37.0,298.0875
38.0,298.0875
39.0,298.0885
40.0,298.0905
41.0,298.0905
42.0,298.0915
43.0,298.0915
44.0,298.0915
45.0,298.0845
46.0,298.0845
47.0,298.0875
48.0,298.0945
49.0,298.0945
50.0,298.0915
51.0,298.0905
52.0,298.0905
53.0,298.0905
54.0,298.0905
55.0,298.0895
56.0,298.0845
57.0,298.0845
58.0,298.0875
59.0,298.0905
60.0,298.0905
61.0,298.0865
62.0,298.0855
63.0,298.0855
64.0,298.0875
65.0,298.0875
66.0,298.0865
67.0,298.0855
68.0,298.0855
69.0,298.0875
70.0,298.0885
71.0,298.0885
72.0,298.0935
73.0,298.0935
74.0,298.0935
75.0,298.0945
76.0,298.0945
77.0,298.0955
78.0,298.0965
79.0,298.0965
80.0,298.0915
81.0,298.0915
82.0,298.0895
83.0,298.0845
84.0,298.0845
85.0,298.0885
86.0,298.0905
87.0,298.0905
88.0,298.0845
89.0,298.0845
90.0,298.0845
91.0,298.0855
92.0,298.0855
93.0,298.0895
94.0,298.0935
95.0,298.0935
96.0,298.0885
97.0,298.0875
98.0,298.0875
99.0,298.0855
100.0,298.0855
101.0,298.0885
102.0,298.0905
103.0,298.0905
104.0,298.0975
105.0,298.0985
106.0,298.0985
107.0,298.0985
108.0,298.0985
109.0,298.1035
110.0,298.1105
111.0,298.1105
112.0,298.1155
113.0,298.1175
114.0,298.1175
