time,T
1.0,304.29134148090696
2.0,304.29181851508594
3.0,304.2922038476353
4.0,304.29327036116206
5.0,304.2929785052834
6.0,304.29259166791775
7.0,304.2921968009155
8.0,304.29353449360093
9.0,304.2953761032742
10.0,304.29461799344773
11.0,304.294043072082
12.0,304.29277739533507
13.0,304.294223019372
14.0,304.29412756605245
15.0,304.29266925336844
16.0,304.2919105229385
17.0,304.292592804003
18.0,304.29335758479334
19.0,304.29325987734023
20.0,304.2927817075951
21.0,304.2931648859705
22.0,304.29327152897406
23.0,304.29221055830646
24.0,304.29144275409254
25.0,304.2930716868085
26.0,304.2944266826207
27.0,304.29500681641053
28.0,304.2935539409787
29.0,304.29355065355423
30.0,304.29335979635584
31.0,304.29470537801967
32.0,304.29441122336715
33.0,304.2944039741784
34.0,304.2931510543506
35.0,304.29402628013963
36.0,304.2941355574456
37.0,304.2956574848375
38.0,304.29470832288354
39.0,304.29530176482274
40.0,304.29453735504
41.0,304.29538195595825
42.0,304.2949869007519
43.0,304.29518334795125
44.0,304.294511567544
45.0,304.29632812031906
46.0,304.2969933720354
47.0,304.29806293910616
48.0,304.2974926713925
49.0,304.29588219661855
50.0,304.2957798197544
51.0,304.29643777743394
52.0,304.29797423367796
53.0,304.29827135801924
54.0,304.29885200538274
55.0,304.29836317152404
56.0,304.29855229832157
57.0,304.29865123604355
58.0,304.29952581883225
59.0,304.2991399220578
60.0,304.2984679527558
61.0,304.2976078175274
62.0,304.2982776731479
63.0,304.29806100712756
64.0,304.29862774116873
65.0,304.2980642000703
66.0,304.29932955430377
67.0,304.299513230791
68.0,304.29912437728206
69.0,304.2993063967263
70.0,304.29969571951403
71.0,304.2999044626916
72.0,304.2990468044146
73.0,304.2995190855963
74.0,304.2992332024031
75.0,304.2991357442012
76.0,304.2978004440344
77.0,304.2984645127799
78.0,304.29797856548356
79.0,304.29894479441185
80.0,304.3000920904711
81.0,304.3010506984272
82.0,304.3007446186717
83.0,304.3018106384724
84.0,304.3023882816944
85.0,304.3027628736622
86.0,304.30122244680814
87.0,304.30182817309077
88.0,304.30088638394375
89.0,304.3020424713924
90.0,304.30291080915674
91.0,304.3033741133083
92.0,304.30289506868996
93.0,304.30405574986275
94.0,304.3047261694011
95.0,304.3035652286876
96.0,304.3024039163447
97.0,304.3019186270091
98.0,304.3033799805603
99.0,304.3027034272437
100.0,304.3033707409543
101.0,304.30412734017926
102.0,304.30625338714503
103.0,304.306549056296
104.0,304.30568763530476
105.0,304.3049168804055
106.0,304.3050108346127
107.0,304.30510347614285
108.0,304.3043363339051
109.0,304.3028713290182
110.0,304.30355048103684
111.0,304.3044272104545
112.0,304.305480959457
113.0,304.3059599597804
114.0,304.3062468310661
115.0,304.30616607555106
116.0,304.30568252197486
117.0,304.30634993927305
118.0,304.30740385550916
119.0,304.3067421321449
120.0,304.3074133998819
121.0,304.306832233799
122.0,304.3068299683378
123.0,304.30835880061613
124.0,304.3099781292397
125.0,304.31046826429855
126.0,304.31028140469283
127.0,304.309984383865
128.0,304.30864570756546
129.0,304.3089378419267
130.0,304.3098008040786
131.0,304.3109533293546
132.0,304.30923526098485
133.0,304.30809147196175
134.0,304.3071392840957
135.0,304.3088451080884
136.0,304.3093190019966
137.0,304.31027637203226
138.0,304.3112516637125
139.0,304.31260519143626
140.0,304.31250983340834
141.0,304.31115995849296
142.0,304.31019684495317
143.0,304.3107800984952
144.0,304.31240604055927
145.0,304.3128748456725
146.0,304.31191537987854
147.0,304.3114278129785
148.0,304.311429972511
149.0,304.3101710995616
150.0,304.3101700267762
151.0,304.3097902406235
152.0,304.3098994232903
153.0,304.3100949331429
154.0,304.31230484601735
155.0,304.31450536051204
156.0,304.31517934530495
157.0,304.31431361375735
158.0,304.31353360993495
159.0,304.31343148847037
160.0,304.3137310980568
161.0,304.31373847546644
162.0,304.31364701787635
163.0,304.31374133279957
164.0,304.31354596218824
165.0,304.3140272154345
166.0,304.31508197472357
167.0,304.31566149484763
168.0,304.3150767929772
169.0,304.31488504462834
170.0,304.3158513248987
171.0,304.3157593073259
172.0,304.31537594986935
173.0,304.31633427004914
174.0,304.3182643999004
175.0,304.31912929064174
176.0,304.3186395895129
177.0,304.31777248858754
178.0,304.31652485374826
179.0,304.31643292307683
180.0,304.3172003405527
181.0,304.3184371264253
182.0,304.31833124473576
183.0,304.3184322389609
184.0,304.31931880614536
185.0,304.3205711330674
186.0,304.32095698433625
187.0,304.32124620729377
188.0,304.32143922212344
189.0,304.3210554402413
190.0,304.3212419324293
191.0,304.3217221042871
192.0,304.32278024729015
193.0,304.3217309006454
194.0,304.3213404506182
195.0,304.3197794426078
196.0,304.3207492283193
197.0,304.32096033795364
198.0,304.32269025982237
199.0,304.32143237973594
200.0,304.3225874141589
201.0,304.32489447967356
202.0,304.32605391007974
203.0,304.32381736319013
204.0,304.3240107931898
205.0,304.32420997547433
206.0,304.3252791673641
207.0,304.32595118251714
208.0,304.32689555512934
209.0,304.32633582569156
210.0,304.32605311554863
211.0,304.3262459933836
212.0,304.32634230539645
213.0,304.32728169977213
214.0,304.32747725802943
215.0,304.3277655256589
216.0,304.3265087614414
217.0,304.3268740718836
218.0,304.32668952768984
219.0,304.32833288498983
220.0,304.3297699377149
221.0,304.33008345487116
222.0,304.32970034314275
223.0,304.3290178643348
224.0,304.32910236683574
225.0,304.3295914516812
226.0,304.32950675669554
227.0,304.32824886523866
228.0,304.32814309165343
229.0,304.3292933638336
230.0,304.33027868087584
231.0,304.33075884002074
232.0,304.33142756325594
233.0,304.332951575514
234.0,304.3326608975262
235.0,304.33188130562934
236.0,304.3321676151495
237.0,304.3337976297387
238.0,304.33601817404013
239.0,304.3351570511589
240.0,304.33439296989576
241.0,304.3342899638049
242.0,304.3349642334369
243.0,304.3348778068115
244.0,304.335267711315
245.0,304.33554419257814
246.0,304.3355471803787
247.0,304.3353530762481
248.0,304.33526671025857
249.0,304.3357381216821
250.0,304.33583108598975
251.0,304.3365859022231
252.0,304.3370775400284
253.0,304.3377570272303
254.0,304.3379534505577
255.0,304.33728067523765
256.0,304.33698849757934
257.0,304.336884118775
258.0,304.33812874471045
259.0,304.3395655907891
260.0,304.34044153147863
261.0,304.3403473956365
262.0,304.3402394596905
263.0,304.34130073571896
264.0,304.3411167830999
265.0,304.34141671982457
