time,T
364.0,306.544
365.0,306.544
366.0,306.564
367.0,306.584
368.0,306.584
369.0,306.6041
370.0,306.6081
371.0,306.6081
372.0,306.6091
373.0,306.6091
374.0,306.6191
375.0,306.6331
376.0,306.6331
377.0,306.6582
378.0,306.6682
379.0,306.6692
380.0,306.6832
381.0,306.6832
382.0,306.6972
383.0,306.7193
384.0,306.7193
385.0,306.7343
386.0,306.7403
387.0,306.7403
388.0,306.7553
389.0,306.7553
390.0,306.7603
391.0,306.7714
392.0,306.7714
393.0,306.7674
394.0,306.7644
395.0,306.7644
396.0,306.7814
397.0,306.7834
398.0,306.7944
399.0,306.8255
400.0,306.8255
401.0,306.8214
402.0,306.8174
403.0,306.8174
404.0,306.8465
405.0,306.8525
406.0,306.8535
407.0,306.8595
408.0,306.8595
409.0,306.8625
410.0,306.8655
411.0,306.8655
412.0,306.8775
413.0,306.8816
414.0,306.8836
415.0,306.9176
416.0,306.9176
417.0,306.9246
418.0,306.9346
419.0,306.9346
420.0,306.9487
421.0,306.9547
422.0,306.9547
423.0,306.9597
424.0,306.9597
425.0,306.9607
426.0,306.9627
427.0,306.9627
428.0,306.9807
429.0,306.9907
430.0,306.9907
431.0,307.0048
432.0,307.0058
433.0,307.0078
434.0,307.0158
435.0,307.0158
436.0,307.0168
437.0,307.0168
438.0,307.0168
439.0,307.0348
440.0,307.0378
441.0,307.0428
442.0,307.0669
443.0,307.0669
444.0,307.0709
445.0,307.0739
446.0,307.0739
447.0,307.0789
448.0,307.0799
449.0,307.0809
450.0,307.0889
451.0,307.0889
452.0,307.0969
453.0,307.1089
454.0,307.1089
455.0,307.119
456.0,307.123
457.0,307.123
458.0,307.134
459.0,307.134
460.0,307.14
461.0,307.154
462.0,307.154
463.0,307.162
464.0,307.166
465.0,307.166
466.0,307.1811
467.0,307.1821
468.0,307.1861
469.0,307.1961
470.0,307.1961
471.0,307.2061
472.0,307.2131
473.0,307.2131
474.0,307.2342
475.0,307.2352
476.0,307.2362
477.0,307.2412
478.0,307.2412
479.0,307.2462
480.0,307.2522
481.0,307.2522
482.0,307.2552
483.0,307.2562
484.0,307.2612
485.0,307.3023
486.0,307.3023
487.0,307.2882
488.0,307.2722
489.0,307.2722
490.0,307.3053
491.0,307.3153
492.0,307.3143
493.0,307.3033
494.0,307.3033
495.0,307.3183
496.0,307.3403
497.0,307.3403
498.0,307.3484
499.0,307.3514
500.0,307.3514
501.0,307.3463
502.0,307.3463
503.0,307.3524
504.0,307.3664
505.0,307.3664
506.0,307.3784
507.0,307.3844
508.0,307.3844
509.0,307.3934
510.0,307.3944
511.0,307.3974
512.0,307.4085
513.0,307.4085
514.0,307.4115
515.0,307.4135
516.0,307.4135
517.0,307.4205
518.0,307.4215
519.0,307.4245
520.0,307.4405
521.0,307.4405
522.0,307.4395
523.0,307.4385
524.0,307.4385
525.0,307.4515
526.0,307.4555
527.0,307.4565
528.0,307.4766
529.0,307.4766
530.0,307.4746
531.0,307.4706
532.0,307.4706
533.0,307.4776
534.0,307.4796
535.0,307.4806
536.0,307.5006
537.0,307.5006
538.0,307.5026
539.0,307.5076
540.0,307.5076
541.0,307.5136
542.0,307.5166
543.0,307.5166
544.0,307.5166
545.0,307.5166
546.0,307.5166
547.0,307.5176
548.0,307.5176
549.0,307.5176
550.0,307.5176
551.0,307.5176
552.0,307.5397
553.0,307.5417
554.0,307.5417
555.0,307.5437
556.0,307.5437
557.0,307.5437
558.0,307.5437
559.0,307.5437
560.0,307.5617
561.0,307.5657
562.0,307.5647
563.0,307.5577
564.0,307.5577
565.0,307.5577
566.0,307.5577
567.0,307.5577
568.0,307.5627
569.0,307.5637
570.0,307.5637
571.0,307.5667
572.0,307.5667
573.0,307.5687
574.0,307.5717
575.0,307.5717
576.0,307.5697
577.0,307.5687
578.0,307.5687
579.0,307.5727
580.0,307.5727
581.0,307.5757
582.0,307.5838
583.0,307.5838
584.0,307.5828
585.0,307.5818
586.0,307.5818
587.0,307.5858
588.0,307.5858
589.0,307.5868
590.0,307.5888
591.0,307.5888
592.0,307.5958
593.0,307.6018
594.0,307.6018
595.0,307.5998
596.0,307.5998
597.0,307.6008
598.0,307.6028
599.0,307.6028
600.0,307.6088
601.0,307.6148
602.0,307.6148
603.0,307.6198
604.0,307.6208
605.0,307.6208
606.0,307.6178
607.0,307.6178
608.0,307.6238
609.0,307.6318
610.0,307.6318
611.0,307.6338
612.0,307.6338
613.0,307.6338
614.0,307.6338
615.0,307.6338
616.0,307.6419
617.0,307.6539
618.0,307.6539
619.0,307.6549
620.0,307.6549
621.0,307.6549
622.0,307.6699
623.0,307.6709
624.0,307.6719
625.0,307.6729
626.0,307.6729
627.0,307.6719
628.0,307.6719
629.0,307.6719
630.0,307.6769
631.0,307.6779
632.0,307.6799
633.0,307.6879
634.0,307.6879
635.0,307.6889
636.0,307.6909
637.0,307.6909
638.0,307.6949
639.0,307.6959
640.0,307.6949
641.0,307.6909
642.0,307.6909
643.0,307.698
644.0,307.705
645.0,307.705
646.0,307.709
647.0,307.71
648.0,307.71
649.0,307.714
650.0,307.714
651.0,307.716
652.0,307.719
653.0,307.719
654.0,307.718
655.0,307.718
656.0,307.718
657.0,307.717
658.0,307.717
659.0,307.725
660.0,307.741
661.0,307.741
662.0,307.736
663.0,307.733
664.0,307.733
665.0,307.738
666.0,307.739
667.0,307.74
668.0,307.743
669.0,307.743
670.0,307.745
671.0,307.747
672.0,307.747
673.0,307.747
674.0,307.747
675.0,307.747
676.0,307.746
677.0,307.746
678.0,307.75
679.0,307.755
680.0,307.755
681.0,307.7611
682.0,307.7631
683.0,307.7651
684.0,307.7781
685.0,307.7781
686.0,307.7761
687.0,307.7741
