time,T
1.0,300.6589
2.0,300.6589
3.0,300.6609
4.0,300.6609
5.0,300.6609
6.0,300.6599
7.0,300.6599
8.0,300.6609
9.0,300.6609
10.0,300.6609
11.0,300.6609
12.0,300.6609
13.0,300.6619
14.0,300.6629
15.0,300.6629
16.0,300.6639
17.0,300.6649
18.0,300.6649
19.0,300.6619
20.0,300.6619
21.0,300.6639
22.0,300.6689
23.0,300.6689
24.0,300.6599
25.0,300.6539
26.0,300.6539
27.0,300.6639
28.0,300.6649
29.0,300.6649
30.0,300.6629
31.0,300.6629
32.0,300.6629
33.0,300.6639
34.0,300.6639
35.0,300.6749
36.0,300.6769
37.0,300.6749
38.0,300.6669
39.0,300.6669
40.0,300.6659
41.0,300.6639
42.0,300.6639
43.0,300.6679
44.0,300.6689
45.0,300.6689
46.0,300.6709
47.0,300.6709
48.0,300.6709
49.0,300.6699
50.0,300.6699
51.0,300.6629
52.0,300.6599
53.0,300.6599
54.0,300.6739
55.0,300.6739
56.0,300.6759
57.0,300.6789
58.0,300.6789
59.0,300.6779
60.0,300.6769
61.0,300.6769
62.0,300.6659
63.0,300.6649
64.0,300.6659
65.0,300.6709
66.0,300.6709
67.0,300.6729
68.0,300.6749
69.0,300.6749
70.0,300.6729
71.0,300.6729
72.0,300.6749
73.0,300.6849
74.0,300.6849
75.0,300.6849
76.0,300.6859
77.0,300.6859
78.0,300.6749
79.0,300.6719
80.0,300.6729
81.0,300.6889
82.0,300.6889
83.0,300.6869
84.0,300.6839
85.0,300.6839
86.0,300.6799
87.0,300.6779
88.0,300.6779
89.0,300.695
90.0,300.695
91.0,300.6899
92.0,300.6819
93.0,300.6819
94.0,300.6909
95.0,300.696
96.0,300.696
97.0,300.6829
98.0,300.6819
99.0,300.6849
100.0,300.6919
101.0,300.6919
102.0,300.694
103.0,300.696
104.0,300.696
105.0,300.696
106.0,300.696
107.0,300.697
108.0,300.702
109.0,300.702
110.0,300.703
111.0,300.704
112.0,300.704
113.0,300.696
114.0,300.694
115.0,300.696
116.0,300.707
117.0,300.707
118.0,300.705
119.0,300.702
120.0,300.702
121.0,300.707
122.0,300.708
123.0,300.708
124.0,300.704
125.0,300.704
126.0,300.707
127.0,300.712
128.0,300.712
129.0,300.706
130.0,300.704
131.0,300.704
132.0,300.71
133.0,300.71
134.0,300.711
135.0,300.712
136.0,300.712
137.0,300.706
138.0,300.702
139.0,300.702
140.0,300.725
141.0,300.728
142.0,300.724
143.0,300.71
144.0,300.71
145.0,300.717
146.0,300.724
147.0,300.724
148.0,300.716
149.0,300.714
150.0,300.714
151.0,300.718
152.0,300.718
153.0,300.719
154.0,300.72
155.0,300.72
156.0,300.722
157.0,300.722
158.0,300.722
159.0,300.724
160.0,300.724
161.0,300.725
162.0,300.728
163.0,300.728
164.0,300.723
165.0,300.721
166.0,300.721
167.0,300.723
168.0,300.723
169.0,300.724
170.0,300.725
171.0,300.725
172.0,300.728
173.0,300.73
174.0,300.73
175.0,300.731
176.0,300.731
177.0,300.731
178.0,300.732
179.0,300.732
180.0,300.738
181.0,300.743
182.0,300.743
183.0,300.734
184.0,300.733
185.0,300.735
186.0,300.745
187.0,300.745
188.0,300.742
189.0,300.74
190.0,300.74
191.0,300.749
192.0,300.7511
193.0,300.7511
194.0,300.748
195.0,300.748
196.0,300.748
197.0,300.747
198.0,300.747
199.0,300.744
200.0,300.743
201.0,300.743
202.0,300.749
203.0,300.749
204.0,300.7521
205.0,300.7571
206.0,300.7571
207.0,300.7531
208.0,300.75
209.0,300.75
