time,T
1.0,306.5205803951023
2.0,306.52082205580103
3.0,306.5201259236202
4.0,306.5200059152968
5.0,306.5198783997116
6.0,306.52011063047405
7.0,306.52035136805506
8.0,306.519657115833
9.0,306.5194229567332
10.0,306.5199980450237
11.0,306.519078997182
12.0,306.5189613164747
13.0,306.51942397566404
14.0,306.52023670164664
15.0,306.5195267763639
16.0,306.5188192522482
17.0,306.5182401952497
18.0,306.51730778418937
19.0,306.5172973488748
20.0,306.5180043860192
21.0,306.51953371531215
22.0,306.52059036528124
23.0,306.5198780635014
24.0,306.5181264791877
25.0,306.51766025269734
26.0,306.5180123575843
27.0,306.5191851201697
28.0,306.51964982675247
29.0,306.52092076081055
30.0,306.520339623798
31.0,306.5184616843584
32.0,306.5176406845662
33.0,306.5184674487086
34.0,306.5212861660099
35.0,306.52198225937906
36.0,306.5209276609473
37.0,306.5196435198362
38.0,306.5188307121677
39.0,306.5198862337173
40.0,306.5195311816342
41.0,306.5196470519575
42.0,306.51870168399006
43.0,306.51835277773995
44.0,306.51835454270537
45.0,306.5188217769595
46.0,306.51905400772193
47.0,306.51975715446827
48.0,306.5197541084621
49.0,306.5196379930809
50.0,306.51917649291613
51.0,306.5185873218427
52.0,306.5189394429751
53.0,306.5198855486967
54.0,306.5206977962588
55.0,306.52046187219355
56.0,306.52022927269485
57.0,306.52011500396503
58.0,306.52201471668786
59.0,306.5224765385081
60.0,306.52129226352633
61.0,306.5191842711058
62.0,306.5190681557246
63.0,306.5196544359568
64.0,306.5194144178536
65.0,306.52000660629784
66.0,306.5209373060083
67.0,306.5206927039619
68.0,306.5204604731994
69.0,306.5204622381649
70.0,306.5204622381649
71.0,306.5197632907964
72.0,306.5184777021541
73.0,306.51824547139165
74.0,306.5187064910212
75.0,306.520107361245
76.0,306.52057719935215
77.0,306.52083370064656
78.0,306.52000888216116
79.0,306.5194145121531
80.0,306.5195164284603
81.0,306.5202247322857
82.0,306.5195299169971
83.0,306.51719044265064
84.0,306.51707449064133
85.0,306.5185905729924
86.0,306.52048109813353
87.0,306.52118357543293
88.0,306.522693294162
89.0,306.52233313684087
90.0,306.5199867859427
91.0,306.51917498410313
92.0,306.5197691907392
93.0,306.5210481269091
94.0,306.52022282594044
95.0,306.52046404490204
96.0,306.51942147459675
97.0,306.5196535057198
98.0,306.51858106956723
99.0,306.5192808148213
100.0,306.51916469944007
101.0,306.52010960326277
102.0,306.51917903870526
103.0,306.5191791203912
104.0,306.5191689691669
105.0,306.5202258187754
106.0,306.52023872206695
107.0,306.5187104567555
