Time,In_column_Top
0,298.0795
1,298.0795
2,298.0775
3,298.0765
4,298.0775
5,298.0845
6,298.0845
7,298.0835
8,298.0825
9,298.0825
10,298.0845
11,298.0845
12,298.0845
13,298.0875
14,298.0875
15,298.0885
16,298.0895
17,298.0895
18,298.0815
19,298.0775
20,298.0775
21,298.0775
22,298.0775
23,298.0775
24,298.0755
25,298.0755
26,298.0765
27,298.0775
28,298.0775
29,298.0845
30,298.0855
31,298.0875
32,298.0945
33,298.0945
34,298.0895
35,298.0835
36,298.0835
37,298.0765
38,298.0745
39,298.0745
40,298.0715
41,298.0715
42,298.0755
43,298.0815
44,298.0815
45,298.0885
46,298.0915
47,298.0915
48,298.0835
49,298.0835
50,298.0855
51,298.0885
52,298.0885
53,298.0885
54,298.0885
55,298.0885
56,298.0895
57,298.0895
58,298.0895
59,298.0885
60,298.0885
61,298.0905
62,298.0925
63,298.0925
64,298.0835
65,298.0825
66,298.0805
67,298.0735
68,298.0735
69,298.0785
70,298.0835
71,298.0835
72,298.0895
73,298.0905
74,298.0905
75,298.0935
76,298.0935
77,298.0925
78,298.0925
79,298.0925
80,298.0885
81,298.0875
82,298.0875
83,298.0905
84,298.0905
85,298.0855
86,298.0785
87,298.0785
88,298.0925
89,298.0985
90,298.0985
91,298.0905
92,298.0905
93,298.0885
94,298.0825
95,298.0825
96,298.0845
97,298.0855
98,298.0855
99,298.0845
100,298.0845
101,298.0855
102,298.0885
103,298.0885
104,298.0955
105,298.1015
106,298.1015
107,298.0925
108,298.0905
109,298.0895
110,298.0865
111,298.0865
112,298.0865
113,298.0865
114,298.0865
115,298.0945
116,298.0975
117,298.0975
118,298.0945
119,298.0945
120,298.0935
121,298.0925
122,298.0925
123,298.0895
124,298.0875
125,298.0875
126,298.0865
127,298.0865
128,298.0885
129,298.0925
130,298.0925
131,298.0905
132,298.0895
133,298.0895
134,298.0895
135,298.0895
136,298.0865
137,298.0815
138,298.0815
139,298.0775
140,298.0745
141,298.0745
142,298.0875
143,298.0895
144,298.0895
145,298.0915
146,298.0915
147,298.0885
148,298.0865
149,298.0865
150,298.0885
151,298.0885
152,298.0885
153,298.0855
154,298.0855
155,298.0855
156,298.0855
157,298.0855
158,298.0805
159,298.0795
160,298.0805
161,298.0875
162,298.0875
163,298.0875
164,298.0865
165,298.0865
166,298.0875
167,298.0885
168,298.0885
169,298.0865
170,298.0865
171,298.0875
172,298.0915
173,298.0915
174,298.0975
175,298.1005
176,298.1005
177,298.0875
178,298.0865
179,298.0905
180,298.1015
181,298.1015
182,298.0965
183,298.0915
184,298.0915
185,298.0865
186,298.0855
187,298.0875
188,298.0975
189,298.0975
190,298.0915
191,298.0865
192,298.0865
193,298.0925
194,298.0935
195,298.0935
196,298.0945
197,298.0945
198,298.0915
199,298.0875
200,298.0875
201,298.0865
202,298.0865
203,298.0865
204,298.0875
205,298.0875
206,298.0895
207,298.0945
208,298.0945
209,298.0855
210,298.0815
211,298.0815
212,298.0845
213,298.0845
214,298.0855
215,298.0865
216,298.0865
217,298.0895
218,298.0915
219,298.0915
220,298.0885
221,298.0885
222,298.0885
223,298.0905
224,298.0905
225,298.0945
226,298.0985
227,298.0985
228,298.0935
229,298.0925
230,298.0925
231,298.0905
232,298.0905
233,298.0885
234,298.0865
235,298.0865
236,298.0875
237,298.0875
238,298.0875
239,298.0775
240,298.0775
241,298.0865
242,298.1035
243,298.1035
244,298.0965
245,298.0935
246,298.0935
247,298.0885
248,298.0885
249,298.0875
250,298.0855
251,298.0855
252,298.0905
253,298.0935
254,298.0935
255,298.0845
256,298.0835
257,298.0845
258,298.0875
259,298.0875
260,298.0875
261,298.0875
262,298.0875
263,298.0845
264,298.0835
265,298.0835
266,298.0835
267,298.0835
268,298.0855
269,298.0885
270,298.0885
271,298.0945
272,298.0955
273,298.0955
274,298.0915
275,298.0915
276,298.0885
277,298.0845
278,298.0845
279,298.0835
280,298.0835
281,298.0835
282,298.0825
283,298.0825
284,298.0805
285,298.0765
286,298.0765
287,298.0855
288,298.0915
289,298.0915
290,298.0885
291,298.0885
292,298.0875
293,298.0855
294,298.0855
295,298.0875
296,298.0895
297,298.0895
298,298.0835
299,298.0825
300,298.0835
301,298.0855
302,298.0855
303,298.0845
304,298.0835
305,298.0835
306,298.0935
307,298.0955
308,298.0945
309,298.0885
310,298.0885
311,298.0845
312,298.0795
313,298.0795
314,298.0825
315,298.0835
316,298.0835
317,298.0875
318,298.0875
319,298.0885
320,298.0905
321,298.0905
322,298.0915
323,298.0915
324,298.0915
325,298.0845
326,298.0845
327,298.0875
328,298.0945
329,298.0945
330,298.0915
331,298.0905
332,298.0905
333,298.0905
334,298.0905
335,298.0895
336,298.0845
337,298.0845
338,298.0875
339,298.0905
340,298.0905
341,298.0865
342,298.0855
343,298.0855
344,298.0875
345,298.0875
346,298.0865
347,298.0855
348,298.0855
349,298.0875
350,298.0885
351,298.0885
352,298.0935
353,298.0935
354,298.0935
355,298.0945
356,298.0945
357,298.0955
358,298.0965
359,298.0965
360,298.0915
361,298.0915
362,298.0895
363,298.0845
364,298.0845
365,298.0885
366,298.0905
367,298.0905
368,298.0845
369,298.0845
370,298.0845
371,298.0855
372,298.0855
373,298.0895
374,298.0935
375,298.0935
376,298.0885
377,298.0875
378,298.0875
379,298.0855
380,298.0855
381,298.0885
382,298.0905
383,298.0905
384,298.0975
385,298.0985
386,298.0985
387,298.0985
388,298.0985
389,298.1035
390,298.1105
391,298.1105
392,298.1155
393,298.1175
394,298.1175
395,298.1256
396,298.1256
397,298.1286
398,298.1326
399,298.1326
400,298.1416
401,298.1466
402,298.1466
403,298.1646
404,298.1646
405,298.1696
406,298.1806
407,298.1806
408,298.1937
409,298.2037
410,298.2037
411,298.2077
412,298.2077
413,298.2137
414,298.2387
415,298.2387
416,298.2528
417,298.2658
418,298.2658
419,298.2898
420,298.2948
421,298.2989
422,298.3179
423,298.3179
424,298.3319
425,298.3459
426,298.3459
427,298.365
428,298.371
429,298.373
430,298.398
431,298.398
432,298.412
433,298.4361
434,298.4361
435,298.4511
436,298.4581
437,298.4601
438,298.4932
439,298.4932
440,298.5032
441,298.5242
442,298.5242
443,298.5373
444,298.5453
445,298.5453
446,298.5793
447,298.5813
448,298.5853
449,298.5984
450,298.5984
451,298.6144
452,298.6274
453,298.6274
454,298.6374
455,298.6394
456,298.6454
457,298.6725
458,298.6725
459,298.6785
460,298.6865
461,298.6865
462,298.6985
463,298.7015
464,298.7035
465,298.7206
466,298.7206
467,298.7236
468,298.7296
469,298.7296
470,298.7406
471,298.7446
472,298.7446
473,298.7506
474,298.7506
475,298.7526
476,298.7546
477,298.7546
478,298.7636
479,298.7687
480,298.7687
481,298.7767
482,298.7767
483,298.7797
484,298.7857
485,298.7857
486,298.7937
487,298.8007
488,298.8007
489,298.7937
490,298.7937
491,298.7957
492,298.8047
493,298.8047
494,298.8187
495,298.8318
496,298.8318
497,298.8388
498,298.8408
499,298.8438
500,298.8678
501,298.8678
502,298.8738
503,298.8808
504,298.8808
505,298.9069
506,298.9159
507,298.9169
508,298.9319
509,298.9319
510,298.942
511,298.956
512,298.956
513,298.981
514,298.994
515,298.994
516,299.0231
517,299.0231
518,299.0301
519,299.0451
520,299.0451
521,299.0672
522,299.0812
523,299.0812
524,299.1223
525,299.1223
526,299.1283
527,299.1493
528,299.1493
529,299.1693
530,299.1844
531,299.1844
532,299.2144
533,299.2184
534,299.2244
535,299.2505
536,299.2505
537,299.2685
538,299.2875
539,299.2875
540,299.3276
541,299.3366
542,299.3416
543,299.3767
544,299.3767
545,299.3997
546,299.4368
547,299.4368
548,299.4578
549,299.4669
550,299.4699
551,299.5129
552,299.5129
553,299.526
554,299.554
555,299.554
556,299.5831
557,299.6011
558,299.6011
559,299.6582
560,299.6582
561,299.6702
562,299.7043
563,299.7043
564,299.7343
565,299.7573
566,299.7573
567,299.7964
568,299.7994
569,299.8084
570,299.8485
571,299.8485
572,299.8645
573,299.8776
574,299.8776
575,299.9176
576,299.9236
577,299.9286
578,299.9597
579,299.9597
580,299.9787
581,300.0028
582,300.0028
583,300.0308
584,300.0398
585,300.0428
586,300.0809
587,300.0809
588,300.0999
589,300.128
590,300.128
591,300.162
592,300.1821
593,300.1821
594,300.2141
595,300.2141
596,300.2282
597,300.2722
598,300.2722
599,300.3013
600,300.3193
601,300.3193
602,300.3654
603,300.3714
604,300.3864
605,300.4325
606,300.4325
607,300.4565
608,300.4786
609,300.4786
610,300.5297
611,300.5367
612,300.5467
613,300.5888
614,300.5888
615,300.6158
616,300.6469
617,300.6469
618,300.694
619,300.709
620,300.713
621,300.741
622,300.741
623,300.7631
624,300.7991
625,300.7991
626,300.8312
627,300.8442
628,300.8472
629,300.8943
630,300.8943
631,300.9093
632,300.9404
633,300.9404
634,300.9654
635,300.9804
636,300.9804
637,301.0195
638,301.0225
639,301.0345
640,301.0726
641,301.0726
642,301.0866
643,301.0976
644,301.0976
645,301.1477
646,301.1547
647,301.1598
648,301.1808
649,301.1808
650,301.2058
651,301.2309
652,301.2309
653,301.2549
654,301.2609
655,301.2629
656,301.3
657,301.3
658,301.317
659,301.3381
660,301.3381
661,301.3711
662,301.3821
663,301.3841
664,301.4072
665,301.4072
666,301.4202
667,301.4432
668,301.4432
669,301.4663
670,301.4773
671,301.4773
672,301.5194
673,301.5224
674,301.5324
675,301.5554
676,301.5554
677,301.5755
678,301.5875
679,301.5875
680,301.6165
681,301.6185
682,301.6276
683,301.6536
684,301.6536
685,301.6736
686,301.6927
687,301.6927
688,301.7167
689,301.7207
690,301.7247
691,301.7558
692,301.7558
693,301.7668
694,301.7808
695,301.7808
696,301.8039
697,301.8119
698,301.8159
699,301.8439
