Time,In_column_Top
0,304.3031
1,304.3031
2,304.3031
3,304.3132
4,304.3162
5,304.3162
6,304.3202
7,304.3202
8,304.3292
9,304.3522
10,304.3522
11,304.3542
12,304.3552
13,304.3552
14,304.3622
15,304.3622
16,304.3682
17,304.3853
18,304.3853
19,304.3923
20,304.3993
21,304.3993
22,304.4103
23,304.4123
24,304.4163
25,304.4314
26,304.4314
27,304.4394
28,304.4464
29,304.4464
30,304.4514
31,304.4524
32,304.4544
33,304.4814
34,304.4814
35,304.4814
36,304.4804
37,304.4804
38,304.5005
39,304.5085
40,304.5095
41,304.5275
42,304.5275
43,304.5265
44,304.5255
45,304.5255
46,304.5375
47,304.5435
48,304.5435
49,304.5636
50,304.5646
51,304.5706
52,304.5856
53,304.5856
54,304.5866
55,304.5866
56,304.5866
57,304.6107
58,304.6137
59,304.6167
60,304.6237
61,304.6237
62,304.6297
63,304.6357
64,304.6357
65,304.6507
66,304.6537
67,304.6557
68,304.6708
69,304.6708
70,304.6748
71,304.6798
72,304.6798
73,304.6908
74,304.6938
75,304.6958
76,304.7198
77,304.7198
78,304.7219
79,304.7249
80,304.7249
81,304.7319
82,304.7349
83,304.7349
84,304.7689
85,304.7689
86,304.7709
87,304.7739
88,304.7739
89,304.787
90,304.796
91,304.796
92,304.809
93,304.81
94,304.813
95,304.823
96,304.823
97,304.836
98,304.8471
99,304.8471
100,304.8571
101,304.8581
102,304.8601
103,304.8731
104,304.8731
105,304.8811
106,304.8891
107,304.8891
108,304.8941
109,304.8962
110,304.8982
111,304.9252
112,304.9252
113,304.9272
114,304.9302
115,304.9302
116,304.9462
117,304.9522
118,304.9522
119,304.9643
120,304.9643
121,304.9713
122,304.9853
123,304.9853
124,304.9923
125,304.9963
126,304.9963
127,305.0184
128,305.0184
129,305.0214
130,305.0274
131,305.0274
132,305.0384
133,305.0474
134,305.0474
135,305.0725
136,305.0755
137,305.0775
138,305.0865
139,305.0865
140,305.0935
141,305.1005
142,305.1005
143,305.1185
144,305.1225
145,305.1245
146,305.1376
147,305.1376
148,305.1446
149,305.1546
150,305.1546
151,305.1636
152,305.1666
153,305.1676
154,305.1816
155,305.1816
156,305.1897
157,305.2027
158,305.2027
159,305.2127
160,305.2177
161,305.2177
162,305.2247
163,305.2247
164,305.2307
165,305.2437
166,305.2437
167,305.2588
168,305.2698
169,305.2698
170,305.2788
171,305.2798
172,305.2828
173,305.2928
174,305.2928
175,305.2998
176,305.3069
177,305.3069
178,305.3279
179,305.3329
180,305.3369
181,305.3519
182,305.3519
183,305.3549
184,305.3579
185,305.3579
186,305.376
187,305.381
188,305.383
189,305.397
190,305.397
191,305.404
192,305.415
193,305.415
194,305.4221
195,305.4251
196,305.4251
197,305.4501
198,305.4501
199,305.4541
200,305.4601
201,305.4601
202,305.4741
203,305.4812
204,305.4812
205,305.5062
206,305.5082
207,305.5102
208,305.5162
209,305.5162
210,305.5302
211,305.5393
212,305.5393
213,305.5433
214,305.5443
215,305.5463
216,305.5553
217,305.5553
218,305.5693
219,305.5813
220,305.5813
221,305.5964
222,305.5994
223,305.6014
224,305.6194
225,305.6194
226,305.6254
227,305.6334
228,305.6334
229,305.6434
230,305.6474
231,305.6474
232,305.6575
233,305.6575
234,305.6675
235,305.6855
236,305.6855
237,305.6895
238,305.6915
239,305.6915
240,305.7156
241,305.7176
242,305.7206
243,305.7286
244,305.7286
245,305.7346
246,305.7386
247,305.7386
248,305.7606
249,305.7616
250,305.7636
251,305.7706
252,305.7706
253,305.7787
254,305.7857
255,305.7857
256,305.8047
257,305.8077
258,305.8097
259,305.8217
260,305.8217
261,305.8267
262,305.8348
263,305.8348
264,305.8488
265,305.8518
266,305.8528
267,305.8718
268,305.8718
269,305.8758
270,305.8818
271,305.8818
272,305.8919
273,305.8959
274,305.8959
275,305.9199
276,305.9199
277,305.9229
278,305.9299
279,305.9299
280,305.9379
281,305.9429
282,305.9429
283,305.959
284,305.96
285,305.964
286,305.975
287,305.975
288,305.982
289,305.988
290,305.988
291,306.0101
292,306.0131
293,306.0141
294,306.0161
295,306.0161
296,306.0241
297,306.0321
298,306.0321
299,306.0411
300,306.0441
301,306.0471
302,306.0682
303,306.0682
304,306.0742
305,306.0822
306,306.0822
307,306.0882
308,306.0902
309,306.0912
310,306.1072
311,306.1072
312,306.1152
313,306.1293
314,306.1293
315,306.1433
316,306.1513
317,306.1513
318,306.1523
319,306.1523
320,306.1583
321,306.1733
322,306.1733
323,306.1834
324,306.1904
325,306.1904
326,306.2094
327,306.2114
328,306.2134
329,306.2184
330,306.2184
331,306.2274
332,306.2344
333,306.2344
334,306.2505
335,306.2535
336,306.2555
337,306.2625
338,306.2625
339,306.2735
340,306.2865
341,306.2865
342,306.2966
343,306.2996
344,306.3006
345,306.3186
346,306.3186
347,306.3276
348,306.3396
349,306.3396
350,306.3506
351,306.3547
352,306.3547
353,306.3607
354,306.3607
355,306.3647
356,306.3757
357,306.3757
358,306.3897
359,306.3987
360,306.3987
361,306.4097
362,306.4117
363,306.4127
364,306.4168
365,306.4168
366,306.4248
367,306.4318
368,306.4318
369,306.4588
370,306.4628
371,306.4638
372,306.4678
373,306.4678
374,306.4739
375,306.4809
376,306.4809
377,306.4949
378,306.4979
379,306.5009
380,306.5199
381,306.5199
382,306.5219
383,306.5249
384,306.5249
385,306.536
386,306.541
387,306.541
388,306.568
389,306.568
390,306.571
391,306.576
392,306.576
393,306.582
394,306.585
395,306.585
396,306.6081
397,306.6081
398,306.6121
399,306.6221
400,306.6221
401,306.6321
402,306.6391
403,306.6391
404,306.6431
405,306.6431
406,306.6482
407,306.6632
408,306.6632
409,306.6722
410,306.6812
411,306.6812
412,306.6922
413,306.6942
414,306.6962
415,306.7063
416,306.7063
417,306.7133
418,306.7223
419,306.7223
420,306.7333
421,306.7363
422,306.7373
423,306.7553
424,306.7553
425,306.7603
426,306.7694
427,306.7694
428,306.7734
429,306.7744
430,306.7744
431,306.7854
432,306.7854
433,306.7934
434,306.8124
435,306.8124
436,306.8214
437,306.8275
438,306.8275
439,306.8235
440,306.8235
441,306.8315
442,306.8555
443,306.8555
444,306.8665
445,306.8745
446,306.8745
447,306.8785
448,306.8795
449,306.8836
450,306.8986
451,306.8986
452,306.9056
453,306.9126
454,306.9126
455,306.9266
456,306.9306
457,306.9316
458,306.9366
459,306.9366
460,306.9387
461,306.9427
462,306.9427
463,306.9587
464,306.9657
465,306.9667
466,306.9847
467,306.9847
468,306.9887
469,306.9957
470,306.9957
471,307.0018
472,307.0048
473,307.0048
474,307.0118
475,307.0118
476,307.0158
477,307.0238
478,307.0238
479,307.0378
480,307.0468
481,307.0468
482,307.0589
483,307.0609
484,307.0639
485,307.0759
486,307.0759
487,307.0809
