Time,In_column_Top
0,300.6609
1,300.6589
2,300.6589
3,300.6589
4,300.6609
5,300.6609
6,300.6609
7,300.6599
8,300.6599
9,300.6609
10,300.6609
11,300.6609
12,300.6609
13,300.6609
14,300.6619
15,300.6629
16,300.6629
17,300.6639
18,300.6649
19,300.6649
20,300.6619
21,300.6619
22,300.6639
23,300.6689
24,300.6689
25,300.6599
26,300.6539
27,300.6539
28,300.6639
29,300.6649
30,300.6649
31,300.6629
32,300.6629
33,300.6629
34,300.6639
35,300.6639
36,300.6749
37,300.6769
38,300.6749
39,300.6669
40,300.6669
41,300.6659
42,300.6639
43,300.6639
44,300.6679
45,300.6689
46,300.6689
47,300.6709
48,300.6709
49,300.6709
50,300.6699
51,300.6699
52,300.6629
53,300.6599
54,300.6599
55,300.6739
56,300.6739
57,300.6759
58,300.6789
59,300.6789
60,300.6779
61,300.6769
62,300.6769
63,300.6659
64,300.6649
65,300.6659
66,300.6709
67,300.6709
68,300.6729
69,300.6749
70,300.6749
71,300.6729
72,300.6729
73,300.6749
74,300.6849
75,300.6849
76,300.6849
77,300.6859
78,300.6859
79,300.6749
80,300.6719
81,300.6729
82,300.6889
83,300.6889
84,300.6869
85,300.6839
86,300.6839
87,300.6799
88,300.6779
89,300.6779
90,300.695
91,300.695
92,300.6899
93,300.6819
94,300.6819
95,300.6909
96,300.696
97,300.696
98,300.6829
99,300.6819
100,300.6849
101,300.6919
102,300.6919
103,300.694
104,300.696
105,300.696
106,300.696
107,300.696
108,300.697
109,300.702
110,300.702
111,300.703
112,300.704
113,300.704
114,300.696
115,300.694
116,300.696
117,300.707
118,300.707
119,300.705
120,300.702
121,300.702
122,300.707
123,300.708
124,300.708
125,300.704
126,300.704
127,300.707
128,300.712
129,300.712
130,300.706
131,300.704
132,300.704
133,300.71
134,300.71
135,300.711
136,300.712
137,300.712
138,300.706
139,300.702
140,300.702
141,300.725
142,300.728
143,300.724
144,300.71
145,300.71
146,300.717
147,300.724
148,300.724
149,300.716
150,300.714
151,300.714
152,300.718
153,300.718
154,300.719
155,300.72
156,300.72
157,300.722
158,300.722
159,300.722
160,300.724
161,300.724
162,300.725
163,300.728
164,300.728
165,300.723
166,300.721
167,300.721
168,300.723
169,300.723
170,300.724
171,300.725
172,300.725
173,300.728
174,300.73
175,300.73
176,300.731
177,300.731
178,300.731
179,300.732
180,300.732
181,300.738
182,300.743
183,300.743
184,300.734
185,300.733
186,300.735
187,300.745
188,300.745
189,300.742
190,300.74
191,300.74
192,300.749
193,300.7511
194,300.7511
195,300.748
196,300.748
197,300.748
198,300.747
199,300.747
200,300.744
201,300.743
202,300.743
203,300.749
204,300.749
205,300.7521
206,300.7571
207,300.7571
208,300.7531
209,300.75
210,300.75
211,300.7521
212,300.7521
213,300.7551
214,300.7621
215,300.7621
216,300.7631
217,300.7641
218,300.7641
219,300.7621
220,300.7621
221,300.7621
222,300.7641
223,300.7641
224,300.7601
225,300.7561
226,300.7561
227,300.7661
228,300.7681
229,300.7671
230,300.7651
231,300.7651
232,300.7661
233,300.7671
234,300.7671
235,300.7651
236,300.7641
237,300.7631
238,300.7591
239,300.7591
240,300.7671
241,300.7801
242,300.7801
243,300.7721
244,300.7691
245,300.7691
246,300.7761
247,300.7761
248,300.7731
249,300.7661
250,300.7661
251,300.7711
252,300.7741
253,300.7741
254,300.7751
255,300.7751
256,300.7741
257,300.7701
258,300.7701
259,300.7731
260,300.7761
261,300.7761
262,300.7811
263,300.7821
264,300.7821
265,300.7841
266,300.7841
267,300.7781
268,300.7731
269,300.7731
270,300.7821
271,300.7841
272,300.7841
273,300.7861
274,300.7861
275,300.7841
276,300.7801
277,300.7801
278,300.7791
279,300.7791
280,300.7791
281,300.7811
282,300.7811
283,300.7831
284,300.7881
285,300.7881
286,300.7801
287,300.7771
288,300.7771
289,300.7891
290,300.7901
291,300.7871
292,300.7801
293,300.7801
294,300.7861
295,300.7911
296,300.7911
297,300.7931
298,300.7931
299,300.7931
300,300.7921
301,300.7921
302,300.7951
303,300.7971
304,300.7971
305,300.7951
306,300.7951
307,300.7961
308,300.8001
309,300.8001
310,300.7991
311,300.7981
312,300.7981
313,300.8031
314,300.8041
315,300.8021
316,300.7891
317,300.7891
318,300.7951
319,300.8051
320,300.8051
321,300.8001
322,300.7981
323,300.7981
324,300.7981
325,300.7981
326,300.8001
327,300.8051
328,300.8051
329,300.8112
330,300.8152
331,300.8152
332,300.8071
333,300.8061
334,300.8061
335,300.8061
336,300.8061
337,300.8102
338,300.8132
339,300.8132
340,300.8172
341,300.8182
342,300.8192
343,300.8222
344,300.8222
345,300.8202
346,300.8182
347,300.8182
348,300.8222
349,300.8232
350,300.8232
351,300.8252
352,300.8252
353,300.8252
354,300.8252
355,300.8252
356,300.8262
357,300.8262
358,300.8262
359,300.8412
360,300.8412
361,300.8392
362,300.8352
363,300.8352
364,300.8412
365,300.8452
366,300.8452
367,300.8352
368,300.8352
369,300.8372
370,300.8422
371,300.8422
372,300.8442
373,300.8452
374,300.8452
375,300.8492
376,300.8492
377,300.8532
378,300.8703
379,300.8703
380,300.8672
381,300.8632
382,300.8632
383,300.8773
384,300.8803
385,300.8813
386,300.8893
387,300.8893
388,300.8873
389,300.8843
390,300.8843
391,300.8993
392,300.9053
393,300.9063
394,300.9153
395,300.9153
396,300.9163
397,300.9173
398,300.9173
399,300.9143
400,300.9123
