Time,In_column_Top
0,302.5662
1,302.5752
2,302.5752
3,302.5722
4,302.5682
5,302.5682
6,302.5612
7,302.5591
8,302.5581
9,302.5491
10,302.5491
11,302.5491
12,302.5501
13,302.5501
14,302.5511
15,302.5511
16,302.5511
17,302.5501
18,302.5501
19,302.5481
20,302.5441
21,302.5441
22,302.5451
23,302.5461
24,302.5461
25,302.5501
26,302.5501
27,302.5471
28,302.5401
29,302.5401
30,302.5361
31,302.5341
32,302.5341
33,302.5211
34,302.5191
35,302.5251
36,302.5521
37,302.5521
38,302.5291
39,302.5051
40,302.5051
41,302.5381
42,302.5481
43,302.5461
44,302.5311
45,302.5311
46,302.5321
47,302.5341
48,302.5341
49,302.5301
50,302.5291
51,302.5291
52,302.5261
53,302.5261
54,302.5261
55,302.5271
56,302.5271
57,302.5321
58,302.5351
59,302.5351
60,302.5401
61,302.5401
62,302.5381
63,302.5331
64,302.5331
65,302.5241
66,302.5171
67,302.5171
68,302.5131
69,302.5121
70,302.5201
71,302.5431
72,302.5431
73,302.5411
74,302.5391
75,302.5391
76,302.5151
77,302.5111
78,302.5121
79,302.5161
80,302.5161
81,302.5281
82,302.5441
83,302.5441
84,302.5291
85,302.5241
86,302.5231
87,302.5131
88,302.5131
89,302.5081
90,302.5021
91,302.5021
92,302.5221
93,302.5311
94,302.5311
95,302.5021
96,302.5021
97,302.498
98,302.489
99,302.489
100,302.5101
101,302.5221
102,302.5221
103,302.5071
104,302.5061
105,302.5061
106,302.5061
107,302.5061
108,302.5031
109,302.501
110,302.501
111,302.5181
112,302.5201
113,302.5181
114,302.5071
115,302.5071
116,302.499
117,302.489
118,302.489
119,302.499
120,302.501
121,302.5031
122,302.5171
123,302.5171
124,302.5151
125,302.5111
126,302.5111
127,302.5121
128,302.5131
129,302.5131
130,302.495
131,302.495
132,302.497
133,302.5
134,302.5
135,302.5031
136,302.5051
137,302.5051
138,302.5
139,302.5
140,302.5
141,302.501
142,302.501
143,302.492
144,302.486
145,302.486
146,302.501
147,302.5021
148,302.5041
149,302.5091
150,302.5091
151,302.5061
152,302.5031
153,302.5031
154,302.491
155,302.489
156,302.49
157,302.494
158,302.494
159,302.498
160,302.5021
161,302.5021
162,302.5101
163,302.5131
164,302.5111
165,302.486
166,302.486
167,302.485
168,302.483
169,302.483
170,302.494
171,302.499
172,302.499
173,302.5101
174,302.5101
175,302.5051
176,302.495
177,302.495
178,302.486
179,302.481
180,302.481
181,302.487
182,302.488
183,302.483
184,302.469
185,302.469
186,302.494
187,302.5191
188,302.5191
189,302.489
190,302.485
191,302.488
192,302.501
193,302.501
194,302.491
195,302.481
196,302.481
197,302.5051
198,302.5121
199,302.5081
200,302.478
201,302.478
202,302.49
203,302.5111
204,302.5111
205,302.498
206,302.492
207,302.492
208,302.488
209,302.488
210,302.486
211,302.482
212,302.482
213,302.492
214,302.496
215,302.496
216,302.475
217,302.474
218,302.484
219,302.5061
220,302.5061
221,302.5
