time,Tf_1,Tf_2,Ts,asf,hsf_Gossler,v_1,v_2
0,0,0,0,0,0,0,0
1,306.52000000904,306.52000000952,306.52000000002,314,253.89820807039,-5.7690557103219e-05,-5.6585530322677e-05
2,306.5200000124,306.52000001297,306.52000000011,314,253.89820807039,-5.7690592348782e-05,-5.6585328415847e-05
3,306.5200000124,306.52000001297,306.52000000011,314,253.89820807039,-5.7690592348782e-05,-5.6585328415847e-05
4,306.52000001565,306.52000001626,306.52000000029,314,253.89820807039,-5.7690591783823e-05,-5.6585327859172e-05
5,306.52000001565,306.52000001626,306.52000000029,314,253.89820807039,-5.7690591783823e-05,-5.6585327859172e-05
6,306.52000001565,306.52000001626,306.52000000029,314,253.89820807039,-5.7690591783823e-05,-5.6585327859172e-05
7,306.52000001565,306.52000001626,306.52000000029,314,253.89820807039,-5.7690591783823e-05,-5.6585327859172e-05
8,306.52000001878,306.52000001942,306.52000000059,314,253.89820807039,-5.7690591784868e-05,-5.6585327859172e-05
9,306.5200000218,306.52000002247,306.52000000101,314,253.89820807039,-5.7690591784796e-05,-5.6585327861477e-05
10,306.5200000218,306.52000002247,306.52000000101,314,253.89820807039,-5.7690591784796e-05,-5.6585327861477e-05
11,306.52000002473,306.52000002541,306.52000000155,314,253.89820807039,-5.7690591784724e-05,-5.6585327860325e-05
12,306.52000002757,306.52000002827,306.52000000219,314,253.89820807039,-5.7690591784688e-05,-5.6585327860325e-05
13,306.52000002757,306.52000002827,306.52000000219,314,253.89820807039,-5.7690591784688e-05,-5.6585327860325e-05
14,306.52000003032,306.52000003104,306.52000000292,314,253.89820807039,-5.7690591784616e-05,-5.6585327860325e-05
15,306.52000003032,306.52000003104,306.52000000292,314,253.89820807039,-5.7690591784616e-05,-5.6585327860325e-05
16,306.52000003301,306.52000003373,306.52000000374,314,253.89820807039,-5.7690591784544e-05,-5.6585327860325e-05
17,306.52000003562,306.52000003635,306.52000000463,314,253.89820807039,-5.7690591784508e-05,-5.6585327860325e-05
18,306.52000003818,306.52000003891,306.52000000559,314,253.89820807039,-5.7690591784508e-05,-5.6585327860325e-05
19,306.52000004067,306.52000004141,306.5200000066,314,253.89820807039,-5.7690591785624e-05,-5.6585327861477e-05
20,306.52000004312,306.52000004386,306.52000000767,314,253.89820807039,-5.7690591784472e-05,-5.6585327861477e-05
21,306.52000004552,306.52000004626,306.52000000877,314,253.89820807039,-5.7690591784436e-05,-5.6585327861477e-05
22,306.52000004787,306.52000004862,306.52000000992,314,253.89820807039,-5.7690591784436e-05,-5.6585327860325e-05
23,306.52000004787,306.52000004862,306.52000000992,314,253.89820807039,-5.7690591784436e-05,-5.6585327860325e-05
24,306.52000005019,306.52000005093,306.52000001111,314,253.89820807039,-5.7690591784436e-05,-5.6585327860325e-05
25,306.52000005246,306.52000005321,306.52000001233,314,253.89820807039,-5.7690591784436e-05,-5.6585327860325e-05
26,306.52000005246,306.52000005321,306.52000001233,314,253.89820807039,-5.7690591784436e-05,-5.6585327860325e-05
27,306.5200000547,306.52000005545,306.52000001358,314,253.89820807039,-5.76905917844e-05,-5.6585327860325e-05
28,306.52000005691,306.52000005766,306.52000001485,314,253.89820807039,-5.7690591784436e-05,-5.6585327860325e-05
29,306.52000005909,306.52000005984,306.52000001615,314,253.89820807039,-5.76905917844e-05,-5.6585327860325e-05
30,306.52000006124,306.52000006199,306.52000001747,314,253.89820807039,-5.76905917844e-05,-5.6585327860325e-05
31,306.52000006337,306.52000006411,306.52000001882,314,253.89820807039,-5.76905917844e-05,-5.6585327860325e-05
32,306.52000006547,306.52000006621,306.52000002018,314,253.89820807039,-5.76905917844e-05,-5.6585327859172e-05
33,306.52000006547,306.52000006621,306.52000002018,314,253.89820807039,-5.76905917844e-05,-5.6585327859172e-05
34,306.52000006754,306.52000006828,306.52000002155,314,253.89820807039,-5.7690591783247e-05,-5.6585327861477e-05
35,306.5200000696,306.52000007034,306.52000002294,314,253.89820807039,-5.76905917844e-05,-5.6585327859172e-05
36,306.52000007163,306.52000007237,306.52000002435,314,253.89820807039,-5.7690591783247e-05,-5.6585327859172e-05
37,306.52000007365,306.52000007439,306.52000002577,314,253.89820807039,-5.76905917844e-05,-5.6585327859172e-05
38,306.52000007565,306.52000007638,306.5200000272,314,253.89820807039,-5.7690591783247e-05,-5.6585327859172e-05
39,306.52000007565,306.52000007638,306.5200000272,314,253.89820807039,-5.7690591783247e-05,-5.6585327859172e-05
40,306.52000007565,306.52000007638,306.5200000272,314,253.89820807039,-5.7690591783247e-05,-5.6585327859172e-05
41,306.52000007565,306.52000007638,306.5200000272,314,253.89820807039,-5.7690591783247e-05,-5.6585327859172e-05
42,306.52000007763,306.52000007836,306.52000002864,314,253.89820807039,-5.7690591783247e-05,-5.6585327859172e-05
43,306.5200000796,306.52000008033,306.52000003009,314,253.89820807039,-5.76905917844e-05,-5.6585327860325e-05
44,306.52000008155,306.52000008228,306.52000003155,314,253.89820807039,-5.7690591783247e-05,-5.6585327859172e-05
45,306.52000008155,306.52000008228,306.52000003155,314,253.89820807039,-5.7690591783247e-05,-5.6585327859172e-05
46,306.52000008155,306.52000008228,306.52000003155,314,253.89820807039,-5.7690591783247e-05,-5.6585327859172e-05
47,306.52000008348,306.52000008421,306.52000003302,314,253.89820807039,-5.76905917844e-05,-5.6585327859172e-05
48,306.52000008541,306.52000008613,306.5200000345,314,253.89820807039,-5.7690591783211e-05,-5.6585327859172e-05
49,306.52000008541,306.52000008613,306.5200000345,314,253.89820807039,-5.7690591783211e-05,-5.6585327859172e-05
50,306.52000008541,306.52000008613,306.5200000345,314,253.89820807039,-5.7690591783211e-05,-5.6585327859172e-05
51,306.52000008732,306.52000008804,306.52000003598,314,253.89820807039,-5.76905917844e-05,-5.6585327861477e-05
52,306.52000008732,306.52000008804,306.52000003598,314,253.89820807039,-5.76905917844e-05,-5.6585327861477e-05
53,306.52000008922,306.52000008994,306.52000003748,314,253.89820807039,-5.7690591783211e-05,-5.6585327859172e-05
54,306.52000009111,306.52000009183,306.52000003897,314,253.89820807039,-5.76905917844e-05,-5.6585327861477e-05
55,306.52000009299,306.52000009371,306.52000004048,314,253.89820807039,-5.7690591783247e-05,-5.6585327860325e-05
56,306.52000009299,306.52000009371,306.52000004048,314,253.89820807039,-5.7690591783247e-05,-5.6585327860325e-05
