time,Tf_1,Tf_2,Ts,asf,hsf_Gossler,v_1,v_2
0,0,0,0,0,0,0,0
1,304.26000002216,304.2600000229,304.26000000006,314,361.94342321591,-0.00012547678906701,-0.00012307308256061
2,304.26000003852,304.26000003952,304.26000000029,314,361.94342321591,-0.00012547703675393,-0.00012307308772281
3,304.26000005425,304.26000005544,304.26000000082,314,361.94342321591,-0.00012547703713596,-0.00012307308809739
4,304.26000006934,304.26000007067,304.26000000175,314,361.94342321591,-0.00012547703713455,-0.00012307308809739
5,304.26000008382,304.26000008525,304.26000000314,314,361.94342321591,-0.00012547703713542,-0.00012307308809739
6,304.26000009773,304.26000009923,304.260000005,314,361.94342321591,-0.0001254770371352,-0.00012307308809969
7,304.26000011112,304.26000011267,304.26000000733,314,361.94342321591,-0.00012547703713499,-0.00012307308809854
8,304.26000012403,304.26000012563,304.2600000101,314,361.94342321591,-0.00012547703713596,-0.00012307308809854
9,304.26000012403,304.26000012563,304.2600000101,314,361.94342321591,-0.00012547703713596,-0.00012307308809854
10,304.26000013651,304.26000013814,304.26000001327,314,361.94342321591,-0.00012547703713466,-0.00012307308809854
11,304.26000014861,304.26000015026,304.26000001682,314,361.94342321591,-0.00012547703713455,-0.00012307308809854
12,304.26000016035,304.26000016202,304.26000002071,314,361.94342321591,-0.00012547703713329,-0.00012307308809739
13,304.26000017177,304.26000017345,304.2600000249,314,361.94342321591,-0.00012547703713311,-0.00012307308809854
14,304.26000018289,304.26000018458,304.26000002936,314,361.94342321591,-0.00012547703713416,-0.00012307308809854
15,304.26000019374,304.26000019544,304.26000003407,314,361.94342321591,-0.00012547703713409,-0.00012307308809739
16,304.26000020434,304.26000020605,304.26000003901,314,361.94342321591,-0.00012547703713401,-0.00012307308809854
17,304.26000021471,304.26000021643,304.26000004414,314,361.94342321591,-0.00012547703713391,-0.00012307308809854
18,304.26000022488,304.26000022659,304.26000004945,314,361.94342321591,-0.00012547703713383,-0.00012307308809854
19,304.26000023485,304.26000023656,304.26000005492,314,361.94342321591,-0.00012547703713495,-0.00012307308809854
20,304.26000023485,304.26000023656,304.26000005492,314,361.94342321591,-0.00012547703713495,-0.00012307308809854
21,304.26000024463,304.26000024635,304.26000006054,314,361.94342321591,-0.00012547703713373,-0.00012307308809739
22,304.26000025426,304.26000025597,304.26000006629,314,361.94342321591,-0.00012547703713365,-0.00012307308809739
23,304.26000026373,304.26000026544,304.26000007216,314,361.94342321591,-0.00012547703713362,-0.00012307308809739
24,304.26000027305,304.26000027476,304.26000007814,314,361.94342321591,-0.00012547703713358,-0.00012307308809739
25,304.26000028225,304.26000028395,304.26000008422,314,361.94342321591,-0.00012547703713355,-0.00012307308809739
26,304.26000029132,304.26000029302,304.26000009039,314,361.94342321591,-0.00012547703713351,-0.00012307308809739
27,304.26000030027,304.26000030198,304.26000009664,314,361.94342321591,-0.00012547703713229,-0.00012307308809739
28,304.26000030913,304.26000031082,304.26000010296,314,361.94342321591,-0.0001254770371334,-0.00012307308809624
29,304.26000031788,304.26000031957,304.26000010936,314,361.94342321591,-0.00012547703713452,-0.00012307308809739
30,304.26000032654,304.26000032823,304.26000011581,314,361.94342321591,-0.00012547703713448,-0.00012307308809624
31,304.26000032654,304.26000032823,304.26000011581,314,361.94342321591,-0.00012547703713448,-0.00012307308809624
32,304.26000032654,304.26000032823,304.26000011581,314,361.94342321591,-0.00012547703713448,-0.00012307308809624
33,304.26000033511,304.2600003368,304.26000012233,314,361.94342321591,-0.00012547703713329,-0.00012307308809854
34,304.26000033511,304.2600003368,304.26000012233,314,361.94342321591,-0.00012547703713329,-0.00012307308809854
35,304.26000033511,304.2600003368,304.26000012233,314,361.94342321591,-0.00012547703713329,-0.00012307308809854
36,304.2600003436,304.26000034529,304.26000012889,314,361.94342321591,-0.00012547703713326,-0.00012307308809739
37,304.2600003436,304.26000034529,304.26000012889,314,361.94342321591,-0.00012547703713326,-0.00012307308809739
38,304.26000035202,304.2600003537,304.26000013551,314,361.94342321591,-0.00012547703713322,-0.00012307308809739
39,304.26000036037,304.26000036205,304.26000014216,314,361.94342321591,-0.00012547703713319,-0.00012307308809739
40,304.26000036865,304.26000037033,304.26000014886,314,361.94342321591,-0.00012547703713315,-0.00012307308809739
41,304.26000037687,304.26000037854,304.2600001556,314,361.94342321591,-0.00012547703713427,-0.00012307308809739
