time,Tf_1,Tf_2,Ts,asf,hsf_Gossler,v_1,v_2
0,0,0,0,0,0,0,0
1,297.40000010656,297.40000010262,297.40000000001,209.33333333333,444.13466868313,-0.00029356687150427,-0.00029412103159048
2,297.40000020331,297.40000019974,297.40000000005,209.33333333333,444.13466868313,-0.00029356803668942,-0.00029412226622738
3,297.40000029622,297.40000029299,297.40000000021,209.33333333333,444.13466868313,-0.00029356803700291,-0.00029412226659619
4,297.40000029622,297.40000029299,297.40000000021,209.33333333333,444.13466868313,-0.00029356803700291,-0.00029412226659619
5,297.40000038422,297.40000038093,297.40000000059,209.33333333333,444.13466868313,-0.00029356803700175,-0.00029412226659389
6,297.40000038422,297.40000038093,297.40000000059,209.33333333333,444.13466868313,-0.00029356803700175,-0.00029412226659389
7,297.40000046701,297.40000046399,297.40000000133,209.33333333333,444.13466868313,-0.00029356803700982,-0.00029412226660196
8,297.40000054548,297.40000054296,297.4000000026,209.33333333333,444.13466868313,-0.00029356803700982,-0.0002941222666008
9,297.40000062031,297.40000061804,297.40000000453,209.33333333333,444.13466868313,-0.00029356803700867,-0.00029412226659965
10,297.40000069172,297.40000068959,297.40000000727,209.33333333333,444.13466868313,-0.00029356803700867,-0.00029412226659965
11,297.40000075994,297.40000075787,297.40000001092,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660196
12,297.40000082518,297.40000082313,297.40000001557,209.33333333333,444.13466868313,-0.00029356803700982,-0.00029412226660196
13,297.40000088766,297.40000088563,297.40000002128,209.33333333333,444.13466868313,-0.00029356803700867,-0.0002941222666008
14,297.40000094758,297.40000094555,297.40000002807,209.33333333333,444.13466868313,-0.00029356803700867,-0.0002941222666008
15,297.40000100511,297.40000100309,297.40000003596,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660196
16,297.40000106043,297.40000105842,297.40000004495,209.33333333333,444.13466868313,-0.00029356803701097,-0.0002941222666008
17,297.4000011137,297.40000111171,297.40000005502,209.33333333333,444.13466868313,-0.00029356803700982,-0.00029412226660196
18,297.40000116508,297.40000116312,297.40000006615,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660311
19,297.4000012147,297.40000121277,297.40000007831,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660196
20,297.40000126269,297.4000012608,297.40000009146,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660196
21,297.40000130917,297.40000130732,297.40000010555,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660196
22,297.40000135426,297.40000135246,297.40000012056,209.33333333333,444.13466868313,-0.00029356803700982,-0.00029412226660311
23,297.40000139806,297.4000013963,297.40000013643,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660196
24,297.40000144066,297.40000143895,297.40000015312,209.33333333333,444.13466868313,-0.00029356803700982,-0.00029412226660196
25,297.40000148216,297.4000014805,297.40000017059,209.33333333333,444.13466868313,-0.00029356803700982,-0.00029412226660196
26,297.40000152265,297.40000152104,297.4000001888,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660196
27,297.4000015622,297.40000156064,297.4000002077,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660311
28,297.40000160088,297.40000159936,297.40000022727,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660311
29,297.40000163877,297.4000016373,297.40000024746,209.33333333333,444.13466868313,-0.00029356803700982,-0.00029412226660196
30,297.40000167593,297.40000167449,297.40000026824,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660196
31,297.40000171241,297.40000171101,297.40000028957,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660196
32,297.40000174828,297.40000174691,297.40000031143,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660311
33,297.40000178358,297.40000178224,297.40000033377,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660196
34,297.40000181836,297.40000181705,297.40000035658,209.33333333333,444.13466868313,-0.00029356803700982,-0.00029412226660196
35,297.40000185267,297.40000185138,297.40000037982,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660311
36,297.40000188655,297.40000188527,297.40000040347,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660196
37,297.40000192003,297.40000191877,297.40000042751,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660196
38,297.40000195315,297.40000195191,297.4000004519,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660196
39,297.40000198595,297.40000198472,297.40000047664,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660311
40,297.40000201845,297.40000201723,297.4000005017,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660311
41,297.40000205069,297.40000204947,297.40000052707,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660311
42,297.40000208269,297.40000208147,297.40000055271,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660311
43,297.40000211447,297.40000211326,297.40000057863,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660311
44,297.40000214606,297.40000214485,297.4000006048,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660311
45,297.40000217748,297.40000217627,297.4000006312,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660196
46,297.40000220874,297.40000220753,297.40000065783,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660196
47,297.40000223988,297.40000223867,297.40000068467,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660426
48,297.40000227089,297.40000226969,297.40000071171,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660311
49,297.40000230181,297.4000023006,297.40000073893,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660311
50,297.40000233264,297.40000233144,297.40000076633,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660311
51,297.4000023634,297.4000023622,297.40000079391,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660311
52,297.4000023941,297.4000023929,297.40000082163,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660311
53,297.40000242476,297.40000242356,297.40000084951,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660196
54,297.40000245538,297.40000245418,297.40000087753,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660196
55,297.40000248597,297.40000248478,297.40000090569,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660426
56,297.40000251654,297.40000251536,297.40000093397,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660426
57,297.40000254711,297.40000254594,297.40000096237,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660311
58,297.40000257768,297.40000257651,297.40000099089,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660311
59,297.40000260825,297.40000260709,297.40000101952,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660311
60,297.40000263883,297.40000263769,297.40000104825,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660196
61,297.40000266944,297.4000026683,297.40000107709,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660196
62,297.40000270007,297.40000269895,297.40000110601,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660311
63,297.40000273074,297.40000272962,297.40000113503,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660311
64,297.40000276144,297.40000276033,297.40000116414,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660311
65,297.40000279217,297.40000279108,297.40000119332,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660311
66,297.40000282296,297.40000282188,297.40000122259,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660311
67,297.40000285379,297.40000285272,297.40000125194,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660196
68,297.40000288467,297.40000288362,297.40000128136,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660196
69,297.40000291561,297.40000291457,297.40000131085,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660196
70,297.4000029466,297.40000294558,297.40000134041,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660311
71,297.40000297765,297.40000297664,297.40000137004,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660311
72,297.40000300877,297.40000300777,297.40000139973,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660311
73,297.40000303995,297.40000303897,297.40000142949,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660311
74,297.40000307119,297.40000307023,297.40000145931,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660426
75,297.40000310251,297.40000310155,297.40000148919,209.33333333333,444.13466868313,-0.00029356803701443,-0.00029412226660196
76,297.40000313389,297.40000313295,297.40000151912,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660311
77,297.40000316534,297.40000316441,297.40000154912,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660311
78,297.40000319686,297.40000319595,297.40000157917,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660196
79,297.40000322845,297.40000322756,297.40000160927,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660426
80,297.40000326012,297.40000325924,297.40000163943,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660311
81,297.40000329186,297.400003291,297.40000166965,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660311
82,297.40000332368,297.40000332282,297.40000169991,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660196
83,297.40000335557,297.40000335473,297.40000173023,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660196
84,297.40000338753,297.4000033867,297.4000017606,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660196
85,297.40000341957,297.40000341876,297.40000179102,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660196
86,297.40000345169,297.40000345088,297.40000182149,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660196
87,297.40000348387,297.40000348308,297.40000185201,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660426
88,297.40000351614,297.40000351536,297.40000188258,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660311
89,297.40000354848,297.40000354771,297.4000019132,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660311
90,297.40000358089,297.40000358014,297.40000194386,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660196
91,297.40000361338,297.40000361264,297.40000197458,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660311
92,297.40000364595,297.40000364521,297.40000200534,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660311
93,297.40000367859,297.40000367786,297.40000203615,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660426
94,297.4000037113,297.40000371058,297.40000206702,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660196
95,297.40000374409,297.40000374337,297.40000209792,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660426
96,297.40000377694,297.40000377624,297.40000212888,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660311
97,297.40000380988,297.40000380918,297.40000215988,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660311
98,297.40000384288,297.40000384219,297.40000219094,209.33333333333,444.13466868313,-0.00029356803701443,-0.00029412226660426
99,297.40000387596,297.40000387528,297.40000222204,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660426
100,297.4000039091,297.40000390843,297.40000225318,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660426
101,297.40000394232,297.40000394165,297.40000228438,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660426
102,297.4000039756,297.40000397495,297.40000231562,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660311
103,297.40000400896,297.40000400831,297.40000234691,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660426
104,297.40000404238,297.40000404174,297.40000237825,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660426
105,297.40000407588,297.40000407524,297.40000240964,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660311
106,297.40000410944,297.4000041088,297.40000244108,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660426
107,297.40000414306,297.40000414243,297.40000247256,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660426
108,297.40000417675,297.40000417613,297.40000250409,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660311
109,297.40000421051,297.40000420989,297.40000253567,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660196
110,297.40000424433,297.40000424372,297.4000025673,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660311
111,297.40000427822,297.40000427761,297.40000259897,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660426
112,297.40000431217,297.40000431157,297.4000026307,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660426
113,297.40000434618,297.40000434558,297.40000266247,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660541
114,297.40000438025,297.40000437966,297.40000269429,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660426
115,297.40000441439,297.4000044138,297.40000272617,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660426
116,297.40000444858,297.400004448,297.40000275808,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660426
117,297.40000448284,297.40000448226,297.40000279005,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660311
118,297.40000451715,297.40000451657,297.40000282207,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660311
119,297.40000455152,297.40000455095,297.40000285413,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660426
120,297.40000458595,297.40000458538,297.40000288625,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660311
121,297.40000462044,297.40000461987,297.40000291841,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660311
122,297.40000465499,297.40000465442,297.40000295063,209.33333333333,444.13466868313,-0.00029356803701097,-0.00029412226660426
123,297.40000468958,297.40000468902,297.40000298289,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660426
124,297.40000472424,297.40000472368,297.4000030152,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660311
125,297.40000475895,297.40000475839,297.40000304756,209.33333333333,444.13466868313,-0.00029356803701213,-0.00029412226660311
126,297.40000479371,297.40000479316,297.40000307996,209.33333333333,444.13466868313,-0.00029356803701328,-0.00029412226660426
