time,Tf_1,Tf_2,Ts,asf,hsf_Gossler,v_1,v_2
0,0,0,0,0,0,0,0
1,304.88000014078,304.88000015699,304.88,125.6,363.20462932378,-0.00034565680732124,-0.00035133572797981
2,304.8800002732,304.88000028897,304.88,125.6,363.20462932378,-0.00034565881299947,-0.00035133729319254
3,304.88000039983,304.88000041099,304.88,125.6,363.20462932378,-0.00034565881321305,-0.0003513372934046
4,304.88000052087,304.88000052927,304.88,125.6,363.20462932378,-0.00034565881322882,-0.00035133729340691
5,304.88000063664,304.88000064287,304.88000000001,125.6,363.20462932378,-0.00034565881321362,-0.00035133729339538
6,304.88000074751,304.88000075241,304.88000000002,125.6,363.20462932378,-0.00034565881321665,-0.00035133729339077
7,304.88000085383,304.88000085754,304.88000000004,125.6,363.20462932378,-0.00034565881321737,-0.00035133729339077
8,304.88000095593,304.88000095871,304.88000000009,125.6,363.20462932378,-0.00034565881321463,-0.00035133729339192
9,304.88000105408,304.88000105617,304.88000000017,125.6,363.20462932378,-0.00034565881321521,-0.00035133729339077
10,304.88000114856,304.88000115011,304.88000000031,125.6,363.20462932378,-0.00034565881321348,-0.00035133729339192
11,304.88000123957,304.88000124071,304.88000000051,125.6,363.20462932378,-0.00034565881321528,-0.00035133729339077
12,304.88000132732,304.88000132813,304.88000000081,125.6,363.20462932378,-0.0003456588132124,-0.00035133729338962
13,304.88000141198,304.88000141254,304.88000000122,125.6,363.20462932378,-0.0003456588132129,-0.00035133729338962
14,304.88000149373,304.88000149408,304.88000000178,125.6,363.20462932378,-0.00034565881321232,-0.00035133729338847
15,304.8800015727,304.88000157289,304.88000000252,125.6,363.20462932378,-0.0003456588132129,-0.00035133729338847
16,304.88000164905,304.8800016491,304.88000000346,125.6,363.20462932378,-0.00034565881321117,-0.00035133729338847
17,304.88000172289,304.88000172283,304.88000000462,125.6,363.20462932378,-0.00034565881321182,-0.00035133729338847
18,304.88000179436,304.88000179419,304.88000000605,125.6,363.20462932378,-0.00034565881321016,-0.00035133729338731
19,304.88000186355,304.88000186331,304.88000000777,125.6,363.20462932378,-0.00034565881321196,-0.00035133729338731
20,304.88000193059,304.88000193027,304.8800000098,125.6,363.20462932378,-0.00034565881321031,-0.00035133729338731
21,304.88000199557,304.88000199519,304.88000001216,125.6,363.20462932378,-0.00034565881320988,-0.00035133729338616
22,304.8800020586,304.88000205816,304.88000001488,125.6,363.20462932378,-0.00034565881321052,-0.00035133729338731
23,304.88000211976,304.88000211927,304.88000001798,125.6,363.20462932378,-0.00034565881321016,-0.00035133729338501
24,304.88000217914,304.88000217861,304.88000002147,125.6,363.20462932378,-0.00034565881320973,-0.00035133729338616
25,304.88000223683,304.88000223626,304.88000002538,125.6,363.20462932378,-0.00034565881320923,-0.00035133729338616
26,304.88000229292,304.8800022923,304.88000002971,125.6,363.20462932378,-0.00034565881320887,-0.00035133729338616
27,304.88000234747,304.88000234681,304.88000003448,125.6,363.20462932378,-0.00034565881320966,-0.00035133729338731
28,304.88000240057,304.88000239987,304.88000003969,125.6,363.20462932378,-0.00034565881320807,-0.00035133729338616
29,304.88000245228,304.88000245155,304.88000004536,125.6,363.20462932378,-0.00034565881320771,-0.00035133729338501
30,304.88000250268,304.88000250191,304.88000005149,125.6,363.20462932378,-0.00034565881320851,-0.00035133729338386
31,304.88000255183,304.88000255102,304.88000005809,125.6,363.20462932378,-0.00034565881320822,-0.00035133729338501
32,304.8800025998,304.88000259894,304.88000006515,125.6,363.20462932378,-0.00034565881320663,-0.00035133729338501
33,304.88000264664,304.88000264574,304.88000007268,125.6,363.20462932378,-0.0003456588132075,-0.00035133729338386
34,304.88000269241,304.88000269148,304.88000008069,125.6,363.20462932378,-0.00034565881320836,-0.00035133729338386
35,304.88000273717,304.88000273619,304.88000008916,125.6,363.20462932378,-0.00034565881320692,-0.0003513372933827
36,304.88000278097,304.88000277995,304.88000009811,125.6,363.20462932378,-0.00034565881320656,-0.00035133729338386
37,304.88000282387,304.8800028228,304.88000010752,125.6,363.20462932378,-0.00034565881320757,-0.00035133729338386
38,304.8800028659,304.8800028648,304.88000011739,125.6,363.20462932378,-0.00034565881320728,-0.0003513372933827
39,304.88000290712,304.88000290597,304.88000012772,125.6,363.20462932378,-0.00034565881320707,-0.0003513372933827
40,304.88000294758,304.88000294638,304.88000013851,125.6,363.20462932378,-0.00034565881320671,-0.00035133729338386
41,304.88000298731,304.88000298606,304.88000014974,125.6,363.20462932378,-0.00034565881320534,-0.0003513372933827
42,304.88000302635,304.88000302505,304.88000016142,125.6,363.20462932378,-0.00034565881320743,-0.0003513372933827
43,304.88000306475,304.8800030634,304.88000017354,125.6,363.20462932378,-0.00034565881320606,-0.00035133729338386
44,304.88000310253,304.88000310113,304.88000018609,125.6,363.20462932378,-0.00034565881320591,-0.0003513372933827
45,304.88000313975,304.88000313829,304.88000019906,125.6,363.20462932378,-0.0003456588132057,-0.00035133729338386
46,304.88000317642,304.88000317491,304.88000021245,125.6,363.20462932378,-0.00034565881320433,-0.0003513372933827
47,304.88000321259,304.88000321102,304.88000022624,125.6,363.20462932378,-0.00034565881320649,-0.0003513372933827
48,304.88000324828,304.88000324665,304.88000024044,125.6,363.20462932378,-0.00034565881320519,-0.0003513372933827
