time,Tf_1,Tf_2,Ts,asf,hsf_Gossler,v_1,v_2
0,0,0,0,0,0,0,0
1,306.71000001154,306.71000001155,306.71,104.66666666667,140.89592319302,-6.6824811620748e-05,-6.6249033318137e-05
2,306.71000001651,306.71000001634,306.71,104.66666666667,140.89592319302,-6.6825017584934e-05,-6.6249449195381e-05
3,306.71000002135,306.71000002094,306.71,104.66666666667,140.89592319302,-6.6825017729577e-05,-6.6249449424736e-05
4,306.71000002601,306.71000002539,306.71,104.66666666667,140.89592319302,-6.6825017734187e-05,-6.6249449431651e-05
5,306.7100000305,306.71000002971,306.71,104.66666666667,140.89592319302,-6.682501773995e-05,-6.6249449437413e-05
6,306.71000003482,306.7100000339,306.71,104.66666666667,140.89592319302,-6.6825017741535e-05,-6.6249449440871e-05
7,306.71000003899,306.71000003799,306.71,104.66666666667,140.89592319302,-6.6825017743696e-05,-6.6249449443176e-05
8,306.71000004304,306.71000004199,306.71,104.66666666667,140.89592319302,-6.6825017748594e-05,-6.6249449447786e-05
9,306.71000004697,306.71000004591,306.71,104.66666666667,140.89592319302,-6.6825017749026e-05,-6.6249449450091e-05
10,306.71000005081,306.71000004974,306.71,104.66666666667,140.89592319302,-6.6825017748594e-05,-6.6249449447786e-05
11,306.71000005457,306.71000005351,306.71,104.66666666667,140.89592319302,-6.6825017748018e-05,-6.6249449447786e-05
12,306.71000005825,306.71000005722,306.71000000001,104.66666666667,140.89592319302,-6.6825017747874e-05,-6.6249449450091e-05
13,306.71000006186,306.71000006087,306.71000000001,104.66666666667,140.89592319302,-6.6825017749026e-05,-6.6249449447786e-05
14,306.71000006542,306.71000006446,306.71000000001,104.66666666667,140.89592319302,-6.6825017749026e-05,-6.6249449450091e-05
15,306.71000006892,306.710000068,306.71000000002,104.66666666667,140.89592319302,-6.682501774917e-05,-6.6249449450091e-05
16,306.71000007237,306.71000007149,306.71000000003,104.66666666667,140.89592319302,-6.682501774917e-05,-6.6249449450091e-05
17,306.71000007578,306.71000007494,306.71000000004,104.66666666667,140.89592319302,-6.6825017750611e-05,-6.6249449451244e-05
18,306.71000007578,306.71000007494,306.71000000004,104.66666666667,140.89592319302,-6.6825017750611e-05,-6.6249449451244e-05
19,306.71000007914,306.71000007834,306.71000000005,104.66666666667,140.89592319302,-6.6825017749458e-05,-6.6249449450091e-05
20,306.71000008246,306.7100000817,306.71000000007,104.66666666667,140.89592319302,-6.6825017749746e-05,-6.6249449448939e-05
21,306.71000008575,306.71000008503,306.71000000009,104.66666666667,140.89592319302,-6.682501774989e-05,-6.6249449450091e-05
22,306.71000008575,306.71000008503,306.71000000009,104.66666666667,140.89592319302,-6.682501774989e-05,-6.6249449450091e-05
